stem,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
chazhuang.3,0.9716113209724426,0.6324804425239563,0.2748095691204071,43.99676360205739,0.35204175114631653,0.3289841413497925,0.9345031927152186,26.455039978027344,26.567882537841797,1.0042654275894165
chazhuang.4,14.976221084594727,0.11195312440395355,14.719443321228027,23.508110792209823,0.09845991432666779,0.09381041675806046,0.9527777517055408,4.6736063957214355,4.689020156860352,1.003298044204712
chazhuang.6,1.1478288173675537,0.7420800924301147,0.3406689465045929,43.82012518515411,0.22743818163871765,0.20003323256969452,0.8795059398071453,15.079992294311523,15.114250183105469,1.0022717714309692
chichaoyiwan.1,19.775407791137695,0.9043262004852295,13.007255554199219,20.639867786279254,0.07516802847385406,0.06383167952299118,0.8491865487200773,3.373218536376953,3.6758062839508057,1.0897029638290405
chichaoyiwan.16,19.66544532775879,1.014248013496399,12.914902687072754,20.6654626439232,0.08666890859603882,0.07882166653871536,0.9094572310428363,4.073446273803711,4.304759502410889,1.0567855834960938
chichaoyiwan.2,19.389095306396484,0.9814453125,12.588544845581055,20.747275145944883,0.07467972487211227,0.06319944560527802,0.8462731332665302,2.5510356426239014,2.82952880859375,1.1091686487197876
chichaoyiwan.3,19.524019241333008,0.9676660299301147,12.743866920471191,20.718214474472823,0.0717335119843483,0.06095005199313164,0.8496733180547071,2.7578723430633545,3.043517589569092,1.103574514389038
chichaoyiwan.4,19.3581485748291,0.8845312595367432,12.557211875915527,20.759059240609513,0.07110127061605453,0.055931903421878815,0.786651239149561,2.9007372856140137,3.1743412017822266,1.0943222045898438
chichaoyiwan.5,14.33293628692627,1.1265820264816284,11.1956787109375,22.109268753449744,0.06666603684425354,0.07035813480615616,1.0553819768099637,11.859307289123535,12.011468887329102,1.0128306150436401
chichaoyiwan.6,8.292356491088867,1.0793163776397705,4.322841644287109,28.829668387595436,0.04342668503522873,0.0459127277135849,1.0572468660477439,4.173996925354004,4.302706718444824,1.0308361053466797
chichaoyiwan.7,8.49333667755127,1.0824023485183716,4.409663200378418,28.622704829223867,0.04456803947687149,0.047775980085134506,1.0719784754711792,4.3017473220825195,4.434647560119629,1.0308945178985596
donghaiyuanjia.12,14.175332069396973,1.0742578506469727,13.999917030334473,21.55516876034611,0.07483092695474625,0.08177323639392853,1.0927732506989707,4.916294097900391,5.160879611968994,1.0497499704360962
donghaiyuanjia.13,13.96939754486084,0.816601574420929,13.854413986206055,21.67291732635636,0.11295324563980103,0.12246659398078918,1.0842237618129338,7.969227313995361,8.243202209472656,1.0343791246414185
donghaiyuanjia.14,14.090182304382324,1.0107030868530273,14.013588905334473,21.639851139764765,0.10307585448026657,0.10976430773735046,1.0648886417281724,7.330436706542969,7.539401054382324,1.0285063982009888
donghaiyuanjia.15,14.129749298095703,1.0336425304412842,13.957378387451172,21.593885663818632,0.0989142581820488,0.10552345216274261,1.0668173935218965,6.767454624176025,6.969883441925049,1.0299121141433716
donghaiyuanjia.16,30.00290298461914,6.348379135131836,13.627222061157227,16.20863189206673,0.059432029724121094,0.062337759882211685,1.0488916350777036,4.173556327819824,4.403865337371826,1.055182933807373
donghaiyuanjia.17,28.647567749023438,2.5667383670806885,13.055869102478027,16.266670908873955,0.12108104676008224,0.11730136722326279,0.9687838798330457,6.509620189666748,6.912547588348389,1.0618972778320312
donghaiyuanjia.18,27.765541076660156,3.240117073059082,11.531991958618164,16.088769547135563,0.057311948388814926,0.061708539724349976,1.0767133273675227,4.387070655822754,4.799339771270752,1.0939736366271973
donghaiyuanjia.19,14.908649444580078,2.168105363845825,12.550283432006836,21.12070492806331,0.11859603226184845,0.11307217925786972,0.9534229446630597,6.480216026306152,6.9120283126831055,1.0666354894638062
donghaiyuanjia.20,16.363502502441406,1.194921851158142,10.492749214172363,20.727228764612377,0.12633371353149414,0.12027692049741745,0.9520571839707382,13.102209091186523,13.197348594665527,1.0072612762451172
donghaiyuanjia.21,16.015777587890625,1.1829394102096558,11.000600814819336,20.81982921193429,0.1281764805316925,0.12281326949596405,0.9581575966851426,13.095222473144531,13.196714401245117,1.0077502727508545
donghaiyuanjia.22,16.157623291015625,1.210019588470459,10.688642501831055,20.768171934088137,0.13046544790267944,0.1235482320189476,0.946980469220692,9.11950969696045,9.326040267944336,1.0226471424102783
donghaiyuanjia.24,20.261980056762695,1.1695116758346558,12.562085151672363,20.023205624965247,0.1230831891298294,0.11593689769506454,0.9419393304055015,14.311968803405762,14.399887084960938,1.0061429738998413
donghaiyuanjia.26,29.26399803161621,2.580810546875,14.35498046875,16.586283396613414,0.11046558618545532,0.09599992632865906,0.8690482599570981,3.8546574115753174,4.126558780670166,1.0705384016036987
duolie.5,10.507451057434082,1.106533169746399,5.406635761260986,26.85368150933546,0.43871963024139404,0.36753445863723755,0.837743361511469,8.397053718566895,8.178550720214844,0.9739786386489868
duolie.6,10.191031455993652,1.077695369720459,5.254101753234863,27.092980601617562,0.442950963973999,0.3680981695652008,0.8310133596543986,8.126280784606934,7.800674915313721,0.9599317312240601
duolie.7,9.879387855529785,1.1266406774520874,5.11337423324585,27.381689240541572,0.48090335726737976,0.4021819829940796,0.8363052078552308,10.031693458557129,9.642742156982422,0.9612277746200562
duolie.8,9.445687294006348,1.111181616783142,4.885829925537109,27.780233496609434,0.48253753781318665,0.4039493203163147,0.8371355341800729,10.328519821166992,9.927582740783691,0.9611815810203552
duowenqigou.3,2.294912099838257,1.3115332126617432,1.8885595798492432,39.27211947022007,0.8418733477592468,0.712074875831604,0.8458218529913795,18.08929443359375,17.385297775268555,0.9610821604728699
duowenqigou.4,2.6648242473602295,1.3289355039596558,1.8595995903015137,37.9469439398566,0.8621235489845276,0.7288417816162109,0.8454029374667835,14.627172470092773,13.826517105102539,0.9452624917030334
fanquyuanjia.3,15.743877410888672,1.4036035537719727,11.46084976196289,20.732951899149743,0.5684807300567627,0.5062317848205566,0.8904994613968886,26.54318618774414,26.28247833251953,0.9901779890060425
fanquyuanjia.4,16.8603572845459,1.2941796779632568,7.333188533782959,22.283508823341442,0.4904739260673523,0.4323861598968506,0.8815680835109405,25.229999542236328,24.865509033203125,0.9855532646179199
gutiao.2,10.946158409118652,1.1445801258087158,5.478168964385986,25.975030519206772,0.16306620836257935,0.15053477883338928,0.923151273472444,9.742804527282715,9.75157642364502,1.000900387763977
hailianzao.10,4.995309352874756,1.1676465272903442,3.126084089279175,32.47425410717647,0.4461709260940552,0.39137786626815796,0.8771926687765862,22.452850341796875,22.11402130126953,0.9849092960357666
hailianzao.6,1.392552137374878,1.1531444787979126,0.2794482409954071,42.61602565163231,0.47974738478660583,0.42398545145988464,0.883768133024232,14.792919158935547,14.30273151397705,0.9668633341789246
hailianzao.7,1.5166243314743042,0.9370898604393005,0.7373926043510437,42.27891819177686,0.3804250955581665,0.3449491262435913,0.9067465037518865,17.716962814331055,17.5446834564209,0.990276038646698
hailianzao.8,12.831816673278809,1.2522753477096558,9.533638000488281,23.12014660032807,0.39346739649772644,0.34683433175086975,0.8814817541595015,14.61846923828125,14.277692794799805,0.9766886234283447
haiyangkadun.10,19.337949752807617,1.2599316835403442,16.618574142456055,20.69505194231165,0.17157897353172302,0.16500069200992584,0.9616603226604497,11.489079475402832,11.67633056640625,1.0162981748580933
haiyangkadun.11,19.538509368896484,1.2887792587280273,16.764942169189453,20.661872947965847,0.17013892531394958,0.16438943147659302,0.9662070581852192,11.104887962341309,11.379959106445312,1.0247702598571777
haiyangkadun.12,19.61346435546875,1.2499511241912842,16.8135986328125,20.63327914863188,0.14357905089855194,0.14015644788742065,0.9761622328196624,8.677214622497559,8.95724868774414,1.0322723388671875
haiyangkadun.13,16.373193740844727,1.061337947845459,7.931806564331055,22.813585028445196,0.04631131514906883,0.05276540294289589,1.1393630613531338,8.106314659118652,8.266408920288086,1.0197492837905884
haiyangkadun.14,13.282620429992676,1.0581250190734863,6.617275238037109,24.684388288272977,0.03479434549808502,0.04138652980327606,1.1894613340576423,6.221856117248535,6.377445220947266,1.025006890296936
