variant,detector,stem,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,grad_mean_ratio,luma_std_ratio,boundary_f1_tol,raw_boundary_f1_tol,delta_boundary_f1_tol,boundary_precision_tol,raw_boundary_precision_tol,delta_boundary_precision_tol,boundary_recall_tol,raw_boundary_recall_tol,delta_boundary_recall_tol,false_edge_ratio_tol,raw_false_edge_ratio_tol,delta_false_edge_ratio_tol,endpoints_per_1k_skel_px,raw_endpoints_per_1k_skel_px,delta_endpoints_per_1k_skel_px,pred_edge_density,raw_pred_edge_density,delta_pred_edge_density
P27_raw_detail_lowfreq_chroma,msfi_50k,chazhuang.3,0.7210644483566284,0.6518164277076721,0.003159179585054517,44.25071611955062,0.9740708189625946,0.9950031217945944,0.8687077469403068,0.8593331739071792,0.009374573033127609,0.826192400970089,0.7944408532643826,0.03175154770570632,0.9158361018826136,0.9357696566998892,-0.019933554817275656,0.17380759902991108,0.20555914673561732,-0.031751547705706235,15.681544028950542,15.2046783625731,0.4768656663774422,0.012080078125,0.015107421875,-0.0030273437500000014
P27_raw_detail_lowfreq_chroma,msfi_50k,chazhuang.4,1.6639355421066284,1.3548046350479126,0.7378320097923279,40.51212953279578,1.3937342282616036,1.0042219046559606,0.9197316553961038,0.9111095005418817,0.00862215485422213,0.8734693877551021,0.8556910569105691,0.017778330844532952,0.9711684370257967,0.9742033383915023,-0.003034901365705611,0.12653061224489795,0.1443089430894309,-0.017778330844532952,7.0821529745042495,17.857142857142858,-10.774989882638607,0.011962890625,0.0144140625,-0.002451171875
P27_raw_detail_lowfreq_chroma,msfi_50k,chazhuang.6,1.3533724546432495,1.2668750286102295,0.016225585713982582,41.197433596320316,1.0320427930086618,0.999990071091235,0.8392208877194643,0.8104056822691249,0.028815205450339443,0.7897727272727273,0.7384969325153374,0.05127579475738986,0.8952745849297573,0.8978288633461047,-0.0025542784163473664,0.21022727272727273,0.26150306748466257,-0.05127579475738983,7.614213197969543,9.732360097323602,-2.118146899354058,0.0103125,0.012734375,-0.0024218749999999987
P27_raw_detail_lowfreq_chroma,msfi_50k,chichaoyiwan.1,1.7712500095367432,1.1377636194229126,0.9336035251617432,40.9733537230814,1.2914084857638426,1.0035289032375114,0.7595818815331011,0.7664644368164764,-0.006882555283375225,1.0,0.9942528735632183,0.005747126436781658,0.6123595505617978,0.6235955056179775,-0.011235955056179692,0.0,0.005747126436781609,-0.005747126436781609,0.0,0.0,0.0,0.00134765625,0.00169921875,-0.0003515625000000001
P27_raw_detail_lowfreq_chroma,msfi_50k,chichaoyiwan.16,1.8406803607940674,1.2102831602096558,0.9654394388198853,40.75594439868724,1.342522282374432,1.0124993032451148,0.7441953064728865,0.7501337712419507,-0.005938464769064233,0.9518716577540107,0.9288537549407114,0.023017902813299296,0.610909090909091,0.6290909090909091,-0.018181818181818188,0.0481283422459893,0.07114624505928854,-0.02301790281329924,15.037593984962406,14.388489208633093,0.6491047763293132,0.001826171875,0.002470703125,-0.0006445312499999997
P27_raw_detail_lowfreq_chroma,msfi_50k,chichaoyiwan.2,1.8873567581176758,1.265078067779541,0.927929699420929,40.483818732274095,1.461941370636678,1.040215633146413,0.7583892617449665,0.7583892617449665,0.0,1.0,1.0,0.0,0.6108108108108108,0.6108108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001591796875,0.00189453125,-0.00030273437500000005
P27_raw_detail_lowfreq_chroma,msfi_50k,chichaoyiwan.3,1.8040852546691895,1.1890331506729126,0.9441259503364563,40.47557081678611,1.3227202108440679,0.9660051927124463,0.8108108108108109,0.814027690729873,-0.0032168799190621655,1.0,0.9936708860759493,0.006329113924050667,0.6818181818181818,0.6893939393939394,-0.00757575757575768,0.0,0.006329113924050633,-0.006329113924050633,0.0,0.0,0.0,0.001162109375,0.00154296875,-0.0003808593750000001
P27_raw_detail_lowfreq_chroma,msfi_50k,chichaoyiwan.4,1.799462914466858,1.1693944931030273,0.9282177686691284,40.97706837255974,1.3560289909376855,1.032789756234431,0.8078817733990148,0.8078817733990148,0.0,1.0,1.0,0.0,0.6776859504132231,0.6776859504132231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012890625,0.001552734375,-0.000263671875
P27_raw_detail_lowfreq_chroma,msfi_50k,chichaoyiwan.5,1.6266047954559326,1.153896450996399,0.8080419898033142,41.67284362471325,1.6039547740330249,1.001646511060952,0.9878586784973096,0.9805690106341518,0.007289667863157767,0.9881656804733728,0.9736842105263158,0.014481469947057013,0.9875518672199171,0.9875518672199171,0.0,0.011834319526627219,0.02631578947368421,-0.01448146994705699,4.424778761061947,4.291845493562231,0.13293326749971524,0.00330078125,0.00408203125,-0.0007812499999999998
P27_raw_detail_lowfreq_chroma,msfi_50k,chichaoyiwan.6,1.5179426670074463,1.1797363758087158,0.3138720691204071,42.10211048612969,1.9329210822520286,1.006633227633469,0.6681818181818182,0.6662293517800704,0.0019524664017478432,1.0,0.991304347826087,0.008695652173912993,0.5017064846416383,0.5017064846416383,0.0,0.0,0.008695652173913044,-0.008695652173913044,0.0,0.0,0.0,0.00177734375,0.00224609375,-0.00046874999999999977
