method,MS_SSIM,PSNR,UCIQE,UIQM,delta_ms_ssim,delta_psnr,delta_uciqe,delta_uiqm,z_uciqe,z_uiqm,visual_score,gate_pass,rank
rghs_s07,0.7529783639983226,16.847090505327387,4.805481420263,24.81828894782448,0.05182853606143023,0.7310886944707455,0.08022506582171562,-4.099832650152848,1.4388062887568531,-1.4265933399708874,0.006106474392982841,True,1
rghs_s06,0.7503476379947229,16.814511713254472,4.809731832075967,24.916164124537822,0.04919781005783053,0.6985099023978307,0.08447547763468322,-4.001957473439507,1.5080335737073087,-1.3795217479227209,0.06425591289229393,True,2
rghs_s02,0.7286660321380781,16.513946050911997,4.729500734758942,26.535482218312733,0.027516204201185723,0.3979442400553559,0.00424438031765817,-2.382639379664596,0.20129406698276794,-0.60073510082799,-0.199720516922611,True,3
rghs_s04,0.7148902314041443,16.278414538499035,4.698658324807529,27.72520655106133,0.013740403467251916,0.16241272764239412,-0.026598029633754905,-1.1929150469159993,-0.301042270346041,-0.028555102574301012,-0.16479868646017098,True,4
rghs_s03,0.7009844027842458,16.12838173612313,4.669056364493407,28.72694024147078,-0.0001654251526466144,0.012379925266490233,-0.056199989947876894,-0.19118135650655077,-0.7831751628591147,0.4532136277541371,-0.1649807675524888,False,5
rghs_s01,0.6980361320343413,16.092625250685177,4.675516234850695,28.935679873544352,-0.0031136959025510613,-0.023376560171463723,-0.04974011959058888,0.01755827556702272,-0.6779619963130832,0.5536038097716813,-0.062179093270700925,False,6
rghs_s05,0.6911194207875625,16.087513293315684,4.727608421456672,29.590427747026006,-0.0100304071493299,-0.028488517540957048,0.0023520670153880374,0.6723061490486764,0.1704735917073782,0.8684949377356109,0.5194842647214946,False,7
rghs_s08,0.6709853627170499,15.809177256915268,4.621580237338666,31.028455895114252,-0.030164465219842507,-0.3068245539413734,-0.10367611710261837,2.110334297136923,-1.5564280916360689,1.56009291603447,0.001832412199200606,False,8
