Method,Count,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
ABC-Former,166,2.3257,0.4277,3.8770,24.4906,3.1244,0.9984,42.0653,2.0849,7.4921
CBF,166,8.0925,0.7474,6.6389,119.8897,9.4919,0.7363,17.4156,2.8618,21.2771
GDCP,166,6.7235,0.6777,5.3409,95.9529,7.4380,0.8801,24.1671,3.5157,18.7952
Histoformer,166,22.4028,1.5549,7.2469,749.0457,28.4075,0.3954,15.5026,5.2727,47.3155
HLRP,166,15.0173,1.1312,6.8364,216.7536,15.9328,0.3898,13.5345,2.7767,33.4477
HVDualformer,166,2.4952,0.4371,3.9493,24.6097,3.1785,0.9918,33.8083,1.6590,8.1063
Ours,166,14.6360,1.1212,5.9670,765.3156,22.0485,0.7291,17.1885,4.0310,32.0510
SGUIE-Net,166,6.0973,0.6423,4.8249,103.9582,6.9491,0.8977,24.3523,3.0095,15.9562
WWPF,166,13.0293,1.0383,6.5547,446.4037,19.7990,0.5732,15.2360,2.6142,29.7317
