method,stem,original_filename,result_filename,original_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
Histoformer,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\chichaoyiwan.1.jpg,31.12438001,2.046445086,7.331084815,1113.33413,38.78527815,0.1208604053,12.87480116,5.2522905,62.16392908
HLRP,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\chichaoyiwan.1.jpg,13.64241613,1.051193979,6.580356746,167.1563529,15.43065973,0.3030018806,13.20965829,1.326052054,31.02284317
HVDualformer,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chichaoyiwan.1.jpg,1.08198302,0.3591892006,3.212758067,5.325367359,1.475510732,0.9930249453,29.35168688,0.4748848205,3.767869815
Ours,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1.png,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chichaoyiwan.1.png,35.4924195,2.302086735,7.105771555,1666.756132,45.96398636,0.2894762754,15.25739686,2.979310561,68.24114638
SGUIE-Net,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\chichaoyiwan.1.jpg,1.375902972,0.3753994773,3.698712511,9.124230995,1.666667931,0.9792821407,30.81057232,1.267719459,5.204953448
WWPF,chichaoyiwan.1,chichaoyiwan.1.jpg,chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\WWPF\chichaoyiwan.1.jpg,7.564215367,0.7197068683,6.334420344,203.6128429,15.16711258,0.4404101968,14.39869353,1.048512857,21.17895475
ABC-Former,chichaoyiwan.16,chichaoyiwan.16.jpg,chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chichaoyiwan.16.jpg,1.021975385,0.3558495323,3.215081295,5.463856779,1.606935947,0.9984792471,37.82836125,0.6643518546,3.408802409
CBF,chichaoyiwan.16,chichaoyiwan.16.jpg,chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\chichaoyiwan.16.jpg,6.444546695,0.6534034786,6.514154445,71.62371179,8.755376361,0.6665263772,16.25246557,1.561185773,18.51778226
GDCP,chichaoyiwan.16,chichaoyiwan.16.jpg,chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\chichaoyiwan.16.jpg,3.376393483,0.4875625892,4.816622802,37.0960864,4.747988734,0.9136731625,24.93671464,1.577765266,13.28942402
Histoformer,chichaoyiwan.16,chichaoyiwan.16.jpg,chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\chichaoyiwan.16.jpg,26.12471404,1.75833507,7.302027502,1139.84762,38.90044509,0.1462047696,12.97614147,5.034592917,53.34673807
HLRP,chichaoyiwan.16,chichaoyiwan.16.jpg,chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\chichaoyiwan.16.jpg,12.62326133,0.9947329045,6.609963073,174.2454545,15.39065489,0.3402349353,13.37142442,1.319859301,29.35590816
HVDualformer,chichaoyiwan.16,chichaoyiwan.16.jpg,chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chichaoyiwan.16.jpg,1.200533514,0.3656291498,3.480115195,6.121987657,1.756031234,0.9943760037,30.16239242,0.5729317228,4.368603805
Ours,chichaoyiwan.16,chichaoyiwan.16.jpg,chichaoyiwan.16.png,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chichaoyiwan.16.png,17.24294199,1.255165704,6.849652424,949.7776793,32.31693773,0.4108230472,18.564709,1.48199076,37.68885936
SGUIE-Net,chichaoyiwan.16,chichaoyiwan.16.jpg,chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\chichaoyiwan.16.jpg,1.596127394,0.3874330296,3.993882971,11.09522433,1.999534057,0.9781624079,30.5681936,1.636219904,6.123991228
WWPF,chichaoyiwan.16,chichaoyiwan.16.jpg,chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\WWPF\chichaoyiwan.16.jpg,8.22238072,0.7593723348,6.462257635,253.9271013,17.07599887,0.4629355669,14.41854231,1.103104488,22.27490608
ABC-Former,chichaoyiwan.2,chichaoyiwan.2.jpg,chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chichaoyiwan.2.jpg,0.9211951885,0.3502790504,2.992226014,3.186383229,1.604926364,0.9972789884,44.08058004,0.4742389052,3.339660354
CBF,chichaoyiwan.2,chichaoyiwan.2.jpg,chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\chichaoyiwan.2.jpg,8.834350922,0.7847586461,6.493755585,126.8071904,12.84937214,0.577365458,16.31354297,1.869438135,23.00948592
GDCP,chichaoyiwan.2,chichaoyiwan.2.jpg,chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\chichaoyiwan.2.jpg,2.912365491,0.4601405089,4.546557072,25.33920455,4.811022296,0.9243956804,28.4076346,1.145949725,12.42540495
Histoformer,chichaoyiwan.2,chichaoyiwan.2.jpg,chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\chichaoyiwan.2.jpg,35.02897801,2.269603554,7.115097231,1883.147497,51.60726004,0.1446649432,12.87232262,4.867434438,67.48032016
HLRP,chichaoyiwan.2,chichaoyiwan.2.jpg,chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\inputs\raw\chichaoyiwan.2.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\chichaoyiwan.2.jpg,10.64576313,0.8844573422,6.055868929,127.712358,13.76210347,0.4745604396,13.54629623,0.8723055155,25.67745137
