method,reference_method,composite_score,count,SIFT_KP,AvgGra,Contrast,EME,EMEE,UCIQE,UIQM,Entropy,MS_SSIM,PSNR,SIFT_KP_log_delta,AvgGra_log_delta,Contrast_log_delta,EME_log_delta,EMEE_log_delta,UCIQE_log_delta,UIQM_log_delta,Entropy_log_delta,MS_SSIM_log_delta,PSNR_log_delta
r3_03_gamma_050_195_55,r3_00_r2_06_base,3.496660565030523,506,4227.790513833992,16.91519839142717,654.212708208783,13.881874194911473,1.0807805868613352,4.012007121747661,28.131789139254963,5.972055882179548,0.7065572261869201,16.09366887122508,0.00048055548124793513,0.0054553044878985334,0.006614571060723128,0.0033889095357868674,0.002002760469326274,0.015045011419937351,0.0024808841562386176,-0.0004953792705331102,-4.479588564725054e-05,3.8784195326877916e-05
r3_09_entropy_strong,r3_00_r2_06_base,2.334443540530788,506,4331.879446640316,16.830285912342713,643.9929014153821,13.915679020567964,1.0827774253600484,3.5315213317103065,28.34878432209301,6.081618322575152,0.6964203058318659,15.96825895507816,0.0053449516303023074,0.0046500989555611875,0.004725190609891586,0.0036321312471143913,0.0021504312266673897,-0.0002625359700436123,0.003249276674926662,0.0005953964316531143,-0.000622829190585863,-0.00011767621017928743
r3_05_gamma_048_190_58,r3_00_r2_06_base,2.2764901701470768,506,4249.296442687747,16.71969455757638,642.0975777639331,13.613249864278078,1.0651607803412875,3.856597923596386,27.704841735174483,5.960411789964925,0.7123588431965221,16.146321420791633,0.001495336860859592,0.0035952738497171273,0.004371500093543312,0.0014348694134537134,0.0008381372339604586,0.010304265344049494,0.0009515808353191135,-0.0006124792323713415,0.0002823072859885619,0.00010411001695073428
r3_02_gamma_050_188_60,r3_00_r2_06_base,1.4991383695082352,506,4236.509881422925,16.584491266681216,633.8350749760708,13.589950592311716,1.0639059963932649,3.727903801285231,27.695075549604407,5.997079630373587,0.7081008925150506,16.08820341252272,0.0008926094144038459,0.0022961791655042568,0.0028173205810131667,0.0012635713509401509,0.0007438398371226752,0.0062315450507487245,0.0009163237946968978,-0.00024449614244248817,4.249966191859191e-05,3.1990981176531973e-05
r3_10_entropy_global_high,r3_00_r2_06_base,1.2536587964730768,506,4266.944664031621,16.575805863058353,633.4883366587626,13.73030252182234,1.0722063627473,3.534431033926048,27.97963995479285,6.040176575171986,0.7023413588289216,15.995076856039175,0.002324258747209393,0.0022123641981102483,0.002751656838462292,0.0022910374116837987,0.0013655605503943426,-0.00016370589945767714,0.0019385719756062109,0.00018514125867070337,-0.0002841817423611433,-8.411537358740125e-05
r3_11_entropy_local_high,r3_00_r2_06_base,1.113148053193381,506,4280.48418972332,16.600851838087504,629.7742610906581,13.61006615987653,1.0649350991884103,3.5371924898487777,27.832701278126308,6.068666390539785,0.7014491934432343,16.03557929937943,0.0029578779207806915,0.0024539410803752454,0.0020460389358193483,0.0014114798718342764,0.0008211854221154767,-6.99863380688539e-05,0.0014120252911042992,0.00046747906433360753,-0.00033502496840171104,-3.3535747958570354e-05
r3_12_entropy_tight,r3_00_r2_06_base,0.9618326672294045,506,4276.786561264822,16.58829460774102,632.2092022009398,13.544947813309973,1.061135112157048,3.537711298041664,27.675679246606148,6.04325307513332,0.7015493627593451,15.937665255953556,0.0027850364251109042,0.002332867948562882,0.0025091088639527864,0.0009318743636374324,0.0005352124713500844,-5.238695153106673e-05,0.0008462640533684143,0.0002156938429915643,-0.00032931324100496265,-0.00015603110414399402
r3_04_gamma_052_185_60,r3_00_r2_06_base,0.9257360592896464,506,4194.903162055336,16.51055219693898,628.700674333546,13.644095160513023,1.0671432234373173,3.6342243488598247,27.804436000571787,6.034382583009836,0.7021611488383749,16.019971643685583,-0.0010812973026326446,0.0015812521188446546,0.0018412983589843402,0.0016611960008112454,0.00098689228291036,0.003177498493876971,0.0013104194883340667,0.00012755910568285257,-0.00029444644407838476,-5.301150983699654e-05
r3_07_cutoff_58,r3_00_r2_06_base,0.8936763100878339,506,4177.146245059289,16.521613740165122,630.2140654233833,13.608020757061809,1.0650026960204946,3.658088408616692,27.73112152756382,6.007430361867386,0.7063179168069786,16.075021359228497,-0.001929689028928798,0.0016884111217148649,0.002129811969203509,0.0013964501394018462,0.0008262632667132363,0.00396290018685638,0.001046392191739336,-0.00014102768869777272,-5.834609257546308e-05,1.5597035451199332e-05
r3_01_gamma_low_048,r3_00_r2_06_base,0.09471999281244738,506,4239.98023715415,16.365696958055906,620.3127571899743,13.331980015388943,1.0489110005297,3.5713268441291666,27.27728404542966,5.9913269456536895,0.7123520513297069,16.123675202300515,0.0010563732306331371,0.00017129880613183916,0.00022952195378705202,-0.0006529217605492114,-0.00039172449376264024,0.001082477010071278,-0.0006037111881772016,-0.0003020786255589273,0.00028192591082919563,7.603908471995251e-05
