stem,stage,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
donghaiyuanjia.26,BPH,37.06364440917969,30.930946350097656,15.977163314819336,15.86991393922553,0.1369740515947342,0.1077292412519455,0.7864937863135621,3.7566277980804443,3.1633403301239014,0.8420691373519172
donghaiyuanjia.26,IMF1Ray,0.9959602952003479,0.9935742020606995,0.03397461026906967,46.28598715931968,0.1369740515947342,0.13792766630649567,1.0069620026106911,3.7566277980804443,3.794691801071167,1.0101324922314743
donghaiyuanjia.26,RGHS,8.058402061462402,0.9050976634025574,2.9929442405700684,27.570741676732496,0.1369740515947342,0.13493843376636505,0.985138653709897,3.7566277980804443,3.7759828567504883,1.0051522425710584
donghaiyuanjia.26,CLAHE,2.461578845977783,1.742431640625,0.08172363042831421,36.3790002764108,0.1369740515947342,0.2699906527996063,1.9711080141465114,3.7566277980804443,5.836373805999756,1.5536204591331608
donghaiyuanjia.26,Fused,1.5058951377868652,1.3403515815734863,0.06114746257662773,38.66787884541042,0.1369740515947342,0.10416784137487411,0.7604932423447821,3.7566277980804443,2.99411940574646,0.7970231723460511
donghaiyuanjia.26,Final,8.058724403381348,0.9051074385643005,2.9929003715515137,27.57056518190131,0.1369740515947342,0.13492268323898315,0.9850236645781342,3.7566277980804443,3.7758257389068604,1.0051104184000117
jianci.4,BPH,14.739501953125,7.019306659698486,17.201377868652344,23.60500183504267,0.09206895530223846,0.09385120123624802,1.0193577184491904,2.3525359630584717,2.394394874572754,1.0177931012123909
jianci.4,IMF1Ray,0.22049804031848907,0.0059960936196148396,0.0007568359142169356,54.643990860833725,0.09206895530223846,0.09230202436447144,1.0025314511165726,2.3525359630584717,2.3567702770233154,1.0017998929791232
jianci.4,RGHS,2.690706491470337,0.0069433595053851604,2.498159170150757,39.16683165593349,0.09206895530223846,0.09207563102245331,1.0000724969683912,2.3525359630584717,2.352827548980713,1.000123944937164
jianci.4,CLAHE,2.3978352546691895,2.2059082984924316,0.0005712890415452421,37.90803852258512,0.09206895530223846,0.1825912594795227,1.983201144152466,2.3525359630584717,4.13189172744751,1.7563564555754492
jianci.4,Fused,0.7275357842445374,0.5743652582168579,0.0006738281226716936,44.6799203582203,0.09206895530223846,0.06812737882137299,0.7399603683757259,2.3525359630584717,1.9388049840927124,0.8241340467110172
jianci.4,Final,2.6907129287719727,0.006953124888241291,2.498154401779175,39.166810099843815,0.09206895530223846,0.09207385778427124,1.0000532370760964,2.3525359630584717,2.3527987003326416,1.0001116821498943
tama.14,BPH,8.297471046447754,1.229345679283142,4.264663219451904,28.046164173592327,0.07134579867124557,0.07417325675487518,1.039630322971475,4.83247709274292,4.6942362785339355,0.9713933842773971
tama.14,IMF1Ray,0.8980859518051147,0.9955664277076721,0.00048828125,48.018795565763725,0.07134579867124557,0.07150905579328537,1.0022882373285051,4.83247709274292,4.797919273376465,0.9928488392813697
tama.14,RGHS,1.6099283695220947,0.9956152439117432,0.6740771532058716,41.368239045312585,0.07134579867124557,0.07151591032743454,1.0023843121385256,4.83247709274292,4.79855489730835,0.9929803709823078
tama.14,CLAHE,1.7835384607315063,1.5878223180770874,0.040678709745407104,37.44616814218176,0.07134579867124557,0.1415461152791977,1.9839446180634075,4.83247709274292,5.76771879196167,1.1935325672685957
tama.14,Fused,0.7416080832481384,0.7860644459724426,0.0006005859468132257,47.23784853454974,0.07134579867124557,0.058532752096652985,0.8204092233371292,4.83247709274292,4.738095283508301,0.9804692689890192
tama.14,Final,1.6099283695220947,0.9956152439117432,0.6740771532058716,41.368239045312585,0.07134579867124557,0.07151591032743454,1.0023843121385256,4.83247709274292,4.79855489730835,0.9929803709823078
weixiaoyuanjia.21,BPH,36.97868728637695,30.759227752685547,16.924184799194336,15.76434039813558,0.09525825828313828,0.0846431702375412,0.8885651582814923,2.1033055782318115,1.817663311958313,0.8641936435228668
weixiaoyuanjia.21,IMF1Ray,1.1943131685256958,0.8887109160423279,0.07053711265325546,44.5309610649299,0.09525825828313828,0.10652074962854385,1.1182311164424055,2.1033055782318115,2.2681021690368652,1.078351235042719
weixiaoyuanjia.21,RGHS,7.905611991882324,1.0013476610183716,3.064404249191284,27.877502084061746,0.09525825828313828,0.09542372822761536,1.001737056143187,2.1033055782318115,2.1234495639801025,1.00957729820488
weixiaoyuanjia.21,CLAHE,2.761523485183716,1.636806607246399,0.03375488147139549,35.996866361101006,0.09525825828313828,0.19165366888046265,2.011937550851167,2.1033055782318115,3.618856191635132,1.720556550302521
weixiaoyuanjia.21,Fused,1.4860416650772095,1.1438379287719727,0.06287597864866257,41.66940289211607,0.09525825828313828,0.08330085873603821,0.8744738709579102,2.1033055782318115,1.9831559658050537,0.9428758167081742
weixiaoyuanjia.21,Final,7.905914783477783,1.0012987852096558,3.0644335746765137,27.877346428088053,0.09525825828313828,0.09539757668972015,1.001462523120098,2.1033055782318115,2.1228790283203125,1.0093060415385051
weixiaoyuanjia.26,BPH,36.63963317871094,28.774648666381836,16.929340362548828,15.817397478910781,0.10864543169736862,0.09581857919692993,0.8819384010723411,4.623152732849121,3.9928982257843018,0.8636743053175997
weixiaoyuanjia.26,IMF1Ray,1.0719302892684937,0.9935351610183716,0.016215819865465164,45.81922669539968,0.10864543169736862,0.11012602597475052,1.0136277544359005,4.623152732849121,4.658555507659912,1.007657712355377
weixiaoyuanjia.26,RGHS,8.209687232971191,0.9602929949760437,2.9958155155181885,27.42945866412034,0.10864543169736862,0.10703964531421661,0.9852199273979154,4.623152732849121,4.637196063995361,1.003037608955339
weixiaoyuanjia.26,CLAHE,2.4730467796325684,1.5667577981948853,0.05452148616313934,35.382576698529384,0.10864543169736862,0.21540968120098114,1.9826851056040604,4.623152732849121,6.2816691398620605,1.3587414263582203
weixiaoyuanjia.26,Fused,1.4283626079559326,1.2637792825698853,0.03793945163488388,41.072325130996255,0.10864543169736862,0.08530984818935394,0.7852133869905434,4.623152732849121,4.4037065505981445,0.9525332179392932
weixiaoyuanjia.26,Final,8.20994758605957,0.9602148532867432,2.995795965194702,27.429293174897175,0.10864543169736862,0.10702687501907349,0.9851023863763917,4.623152732849121,4.637061595916748,1.0030085231590535
xuehong.13,BPH,10.271113395690918,2.9956445693969727,5.398427963256836,27.047842809293297,0.20626169443130493,0.19803842902183533,0.9601318781353256,13.63573932647705,13.308863639831543,0.9760280187384611
xuehong.13,IMF1Ray,0.9410839676856995,0.940673828125,0.004707031417638063,47.06149897521878,0.20626169443130493,0.20882557332515717,1.0124302182646712,13.63573932647705,13.604052543640137,0.997676196128723
xuehong.13,RGHS,2.0111522674560547,0.9394433498382568,0.9793847799301147,40.731759535291204,0.20626169443130493,0.20939917862415314,1.015211177171251,13.63573932647705,13.609341621398926,0.9980640795893676
xuehong.13,CLAHE,3.8054850101470947,3.553662061691284,0.008061523549258709,34.08023672884469,0.20626169443130493,0.3838641047477722,1.8610537644669825,13.63573932647705,16.154674530029297,1.1847303723001217
xuehong.13,Fused,1.5780566930770874,1.5023144483566284,0.0052734375931322575,39.236482527431676,0.20626169443130493,0.1672441065311432,0.8108345380436549,13.63573932647705,13.359613418579102,0.9797498395747758
xuehong.13,Final,2.0111589431762695,0.9394335746765137,0.9793994426727295,40.73174935844409,0.20626169443130493,0.20939792692661285,1.0152051086788068,13.63573932647705,13.60933780670166,0.9980637998320935
xuehong.9,BPH,10.282894134521484,2.9947266578674316,5.40695333480835,27.02731337158965,0.21068525314331055,0.20239455997943878,0.960648911108737,14.086190223693848,13.774988174438477,0.9779072946416827
xuehong.9,IMF1Ray,0.9333952069282532,0.938769519329071,0.005341796670109034,47.145594216133624,0.21068525314331055,0.2136315405368805,1.013984302819626,14.086190223693848,14.05835247039795,0.99802375561796
xuehong.9,RGHS,2.0132715702056885,0.9453027248382568,0.9795947074890137,40.72824353491184,0.21068525314331055,0.21366015076637268,1.014120098889496,14.086190223693848,14.059139251708984,0.9980796104160625
xuehong.9,CLAHE,3.619899034500122,3.385205030441284,0.007641601376235485,34.5445636427971,0.21068525314331055,0.3881925940513611,1.8425237951741416,14.086190223693848,16.599254608154297,1.1784062506166437
xuehong.9,Fused,1.5845149755477905,1.5125781297683716,0.0069824219681322575,39.709306146513434,0.21068525314331055,0.17288248240947723,0.8205722944989808,14.086190223693848,13.849775314331055,0.9832165470867812
xuehong.9,Final,2.013252019882202,0.9453027248382568,0.9796484112739563,40.7282951315662,0.21068525314331055,0.21365675330162048,1.014103973106199,14.086190223693848,14.059215545654297,0.9980850266389089
