Method,Count,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM
Ours,168,14.5863,1.1184,5.9617,764.3023,21.9782,0.7299,17.1188,3.9871,31.9225
HVDualformer,168,2.4926,0.4370,3.9537,24.6834,3.1854,0.9918,33.8946,1.6433,8.0885
ABC-Former,168,2.3222,0.4275,3.8816,24.5347,3.1307,0.9984,42.2140,2.0614,7.4724
GDCP,168,6.7085,0.6765,5.3385,96.9277,7.4582,0.8790,24.0551,3.4771,18.7362
CBF,168,8.0531,0.7452,6.6375,119.6892,9.4651,0.7377,17.4139,2.8292,21.1737
SGUIE-Net,168,6.0757,0.6411,4.8215,104.0369,6.9403,0.8983,24.3563,2.9988,15.8973
