stem,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
chazhuang.1,6.022942543029785,1.0351171493530273,4.671494007110596,29.68911967597828,0.5767266750335693,0.5793190002441406,1.0044948921530732,41.07143783569336,41.16396713256836,1.0022529363632202
chichaoyiwan.17,12.540663719177246,1.0794824361801147,8.518119812011719,24.719111707854452,0.08051902800798416,0.0845969021320343,1.0506448373048038,4.4667744636535645,5.132075309753418,1.14894437789917
donghaiyuanjia.13,9.975862503051758,1.7190136909484863,9.443218231201172,26.177006964368857,0.11295324563980103,0.12355485558509827,1.093858381770158,7.969227313995361,8.679632186889648,1.0891435146331787
donghaiyuanjia.4,8.210540771484375,1.9731249809265137,8.497461318969727,26.576180616781315,0.0795777291059494,0.08286513388156891,1.041310599978696,5.919248580932617,6.618261814117432,1.1180915832519531
duolie.2,1.20075523853302,0.9214648604393005,0.5528027415275574,43.12055876412006,0.34146368503570557,0.3491666316986084,1.022558608654208,24.65342140197754,24.869415283203125,1.0087611675262451
hailianzao.10,4.199580192565918,0.89404296875,2.727846622467041,33.72584774708741,0.4461709260940552,0.44932833313941956,1.0070766736549348,22.452850341796875,22.400035858154297,0.997647762298584
haiyangkadun.18,3.033574104309082,1.0832128524780273,2.3899707794189453,37.658574784052206,0.1305627077817917,0.13556167483329773,1.0382878549177528,12.904595375061035,13.282987594604492,1.0293222665786743
haiyangyuanjia.4,3.0252604484558105,0.5401855707168579,2.804384708404541,31.431767869950523,0.5474264025688171,0.542996883392334,0.9919084645029799,62.96242904663086,62.5015869140625,0.9926806688308716
jiaomaozao.16,1.6566699743270874,0.9597949385643005,1.0336474180221558,41.09551925838086,0.6000735759735107,0.6131516695022583,1.0217941483021256,18.420289993286133,18.795467376708984,1.0203676223754883
jiaomaozao.7,0.9896028637886047,0.923876941204071,0.1461181640625,46.28958498258903,0.2752891182899475,0.2831248939037323,1.028463800654365,9.538884162902832,9.86264419555664,1.0339410305023193
lianzhuangluojia.11,5.749322891235352,1.096132755279541,2.978774309158325,32.198832577116704,0.0525776669383049,0.05501974746584892,1.0464470872007785,7.331287860870361,7.72840690612793,1.0541677474975586
limayuanjia.16,13.180901527404785,1.8470312356948853,6.374477386474609,24.929412406465165,0.1879621148109436,0.19540110230445862,1.0395770523300414,14.238999366760254,14.434296607971191,1.0137156248092651
lingxinghaixian.5,11.61344051361084,0.13754883408546448,9.618661880493164,26.54345914428662,0.07627123594284058,0.08212006837129593,1.0766846279527182,3.4558165073394775,3.7854719161987305,1.0953915119171143
mishikailun.10,12.129375457763672,0.8900097608566284,6.787876129150391,24.952933688593824,0.19492101669311523,0.1995842009782791,1.0239234503305623,13.225495338439941,14.039041519165039,1.0615134239196777
qiangzhuang.1,11.958733558654785,1.1770117282867432,7.558315277099609,24.54498400136267,0.17376485466957092,0.17532825469970703,1.008997210765732,35.04218673706055,35.60618591308594,1.0160948038101196
qiangzhuang.29,3.242919921875,0.9559570550918579,1.9885791540145874,34.25293555670099,0.3105885684490204,0.31229233741760254,1.0054856106636654,27.1977481842041,27.20841407775879,1.000392198562622
ribenxing.2,7.865976333618164,1.2036523818969727,4.025200366973877,29.382644912198934,0.17995835840702057,0.18741701543331146,1.0414465660326526,7.781827449798584,8.381244659423828,1.0770277976989746
shikelipu.1,7.662802696228027,1.1203515529632568,4.079882621765137,29.673305429503266,0.12866733968257904,0.1315871626138687,1.0226927976889866,9.780472755432129,9.986078262329102,1.021022081375122
tama.13,3.6168880462646484,0.7616113424301147,2.076786994934082,34.56234684998509,0.02724301628768444,0.02994464710354805,1.099167789945386,6.921778202056885,7.213598728179932,1.0421597957611084
tiaowenhuangou.5,12.870244026184082,1.973291039466858,6.420761585235596,25.068716338221275,0.6944947242736816,0.7008488178253174,1.0091492308298409,17.148670196533203,17.08739471435547,0.9964268207550049
weixiaoyuanjia.17,8.577037811279297,1.1295703649520874,7.884682655334473,26.14296795796747,0.1585562825202942,0.1709771603345871,1.0783373357303945,7.813698768615723,8.525853157043457,1.0911418199539185
weixiaoyuanjia.5,2.66274094581604,1.0533887147903442,2.6813671588897705,37.36208439173791,0.1571817547082901,0.16244757175445557,1.0335014456508436,12.421018600463867,12.734553337097168,1.0252423286437988
xuehong.12,5.477965354919434,1.310302734375,2.9019384384155273,31.864726222327448,0.20541349053382874,0.21155807375907898,1.0299132358803138,13.790029525756836,14.12712287902832,1.0244446992874146
yuanhai.13,9.051152229309082,1.2520800828933716,7.444658279418945,25.990077252143912,0.06738116592168808,0.0719321221113205,1.0675404626773775,8.392528533935547,9.326279640197754,1.1112598180770874
zhaixi.3,9.830989837646484,0.08506835997104645,7.810346603393555,27.547131591070148,0.1909513622522354,0.19684462249279022,1.0308626193611938,8.613985061645508,8.932487487792969,1.0369750261306763
