stem,stage,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
chazhuang.1,BPH,8.15056324005127,1.3410253524780273,6.81240701675415,26.837127257874933,0.5767266750335693,0.5755579471588135,0.9979735134105574,41.07143783569336,41.11668014526367,1.0011014938354492
chazhuang.1,IMF1Ray,8.365139961242676,1.9677441120147705,6.80465841293335,26.669615554844643,0.5767266750335693,0.614744246006012,1.0659195621640185,41.07143783569336,41.470367431640625,1.009713053703308
chazhuang.1,RGHS,8.774641990661621,6.744580268859863,5.802865982055664,27.979790766937406,0.5767266750335693,0.6263477802276611,1.0860392041085396,41.07143783569336,45.8629150390625,1.1166620254516602
chazhuang.1,CLAHE,7.058382034301758,5.1171875,5.111284255981445,30.015785628506514,0.5767266750335693,0.6257083415985107,1.084930466372411,41.07143783569336,44.438690185546875,1.0819852352142334
chazhuang.1,Fused,6.853570938110352,6.547792911529541,4.006293773651123,30.111045679218556,0.5767266750335693,0.6246930360794067,1.0831700041616341,41.07143783569336,44.961307525634766,1.094709873199463
chazhuang.1,Final,7.889589786529541,8.538427352905273,3.901303768157959,28.724256393189357,0.5767266750335693,0.6453601121902466,1.1190051353766102,41.07143783569336,46.66167449951172,1.1361100673675537
haiyangkadun.18,BPH,4.418678283691406,1.829003930091858,3.390878915786743,33.88293241272007,0.1305627077817917,0.1308467835187912,1.0021757723905245,12.904595375061035,12.721901893615723,0.985842764377594
haiyangkadun.18,IMF1Ray,4.492395877838135,2.5354981422424316,3.387993097305298,33.56594024973856,0.1305627077817917,0.17303398251533508,1.3252940608372736,12.904595375061035,13.283064842224121,1.0293282270431519
haiyangkadun.18,RGHS,6.063782691955566,5.970302581787109,3.4000000953674316,30.71064241325732,0.1305627077817917,0.2081977277994156,1.5946186299441338,12.904595375061035,15.570089340209961,1.2065538167953491
haiyangkadun.18,CLAHE,5.262871265411377,3.4033496379852295,3.394282341003418,32.09027999496318,0.1305627077817917,0.20538005232810974,1.5730376172828922,12.904595375061035,14.845653533935547,1.1504160165786743
haiyangkadun.18,Fused,5.416292190551758,3.5784473419189453,2.5477490425109863,31.110806359101232,0.1305627077817917,0.21642528474330902,1.6576347623502412,12.904595375061035,18.162919998168945,1.4074769020080566
haiyangkadun.18,Final,9.149476051330566,6.5654296875,2.5084619522094727,27.892037027114736,0.1305627077817917,0.22796086966991425,1.745987593217779,12.904595375061035,16.688016891479492,1.2931840419769287
lingxinghaixian.6,BPH,15.247526168823242,8.91055679321289,18.4507999420166,22.771665453161837,0.17417538166046143,0.1720268875360489,0.9876647601308801,7.974884510040283,7.9979634284973145,1.0028939247131348
lingxinghaixian.6,IMF1Ray,15.30109691619873,8.552148818969727,18.451547622680664,22.714607866701137,0.17417538166046143,0.211398184299469,1.2137087404112092,7.974884510040283,8.438460350036621,1.0581294298171997
lingxinghaixian.6,RGHS,9.230240821838379,13.539511680603027,9.9998140335083,26.741172674847775,0.17417538166046143,0.21798530220985413,1.2515276204950043,7.974884510040283,11.595064163208008,1.4539475440979004
lingxinghaixian.6,CLAHE,7.275631427764893,10.756357192993164,8.000923156738281,28.652532551164857,0.17417538166046143,0.23864012956619263,1.370113996140311,7.974884510040283,10.396893501281738,1.3037046194076538
lingxinghaixian.6,Fused,12.467936515808105,15.474560737609863,12.2503023147583,25.19601169766707,0.17417538166046143,0.2556880712509155,1.4679920166982234,7.974884510040283,11.914754867553711,1.494034767150879
lingxinghaixian.6,Final,9.459742546081543,9.936445236206055,11.24789047241211,27.44220701899705,0.17417538166046143,0.2198735475540161,1.262368678027474,7.974884510040283,10.830249786376953,1.3580447435379028
tama.14,BPH,7.974355697631836,0.7284472584724426,4.492202281951904,28.067128178636793,0.018154585734009743,0.017924383282661438,0.9873198186925922,4.794126510620117,4.757435321807861,0.9923466444015503
tama.14,IMF1Ray,8.446890830993652,0.9523632526397705,4.492353439331055,27.730050328008492,0.018154585734009743,0.0384710319340229,2.119080566122363,4.794126510620117,4.564304828643799,0.9520618319511414
tama.14,RGHS,10.304570198059082,6.375156402587891,4.514443397521973,25.921423998388367,0.018154585734009743,0.08229248970746994,4.532875956537639,4.794126510620117,9.333416938781738,1.9468441009521484
tama.14,CLAHE,9.029964447021484,4.727294921875,3.998955011367798,27.12137920266867,0.018154585734009743,0.06173789128661156,3.4006773159399657,4.794126510620117,7.508601665496826,1.5662084817886353
tama.14,Fused,8.519306182861328,3.1766114234924316,4.229389667510986,27.65343704960909,0.018154585734009743,0.047464512288570404,2.614463935973445,4.794126510620117,6.382499694824219,1.3313164710998535
tama.14,Final,8.85928726196289,3.774726629257202,4.318637847900391,27.371829048458313,0.018154585734009743,0.042293328791856766,2.3296222277881387,4.794126510620117,6.754354000091553,1.4088810682296753
zhaixi.3,BPH,13.007646560668945,2.1195409297943115,11.31686019897461,25.48965512110105,0.1909513622522354,0.20152491331100464,1.0553730011594742,8.613985061645508,9.056318283081055,1.0513505935668945
zhaixi.3,IMF1Ray,13.001367568969727,1.9266210794448853,11.31820297241211,25.479132942804984,0.1909513622522354,0.23689016699790955,1.2405785586615148,8.613985061645508,9.09675121307373,1.0560444593429565
zhaixi.3,RGHS,8.258561134338379,6.709169864654541,8.750596046447754,28.41433371280688,0.1909513622522354,0.32209914922714233,1.6868125146698665,8.613985061645508,12.791069984436035,1.4849189519882202
zhaixi.3,CLAHE,7.281139373779297,4.810507774353027,7.723212718963623,29.5838795807739,0.1909513622522354,0.31232890486717224,1.635646373755417,8.613985061645508,11.757678031921387,1.3649522066116333
zhaixi.3,Fused,13.097545623779297,17.788076400756836,7.187456130981445,24.443851614487823,0.1909513622522354,0.33071303367614746,1.731922873152234,8.613985061645508,13.618553161621094,1.580981731414795
zhaixi.3,Final,6.0103254318237305,9.963837623596191,6.799961090087891,29.17887039771091,0.1909513622522354,0.21782764792442322,1.1407493731096636,8.613985061645508,10.96509075164795,1.2729405164718628
