method,MS_SSIM,PSNR,UCIQE,UIQM,delta_ms_ssim,delta_psnr,delta_uciqe,delta_uiqm,z_uciqe,z_uiqm,visual_score,gate_pass,rank
clahe_s05,0.7208657296808813,16.621245669445187,2.266858888149497,19.85404339948545,0.03508339760449575,0.7239718524878036,0.022733694803808824,-1.119371862401362,1.1471379992702153,-1.0283120929711913,0.059412953149512004,True,1
clahe_s08,0.7143219684364768,16.475371285782245,2.254089027613755,19.995653384946348,0.02853963636009127,0.5780974688248612,0.009963834268066574,-0.9777618769404661,0.8710415093296138,-0.9767245148582843,-0.052841502764335246,True,2
clahe_s03,0.6849075253949806,15.902589995375735,2.2493206497591003,21.157663939434457,-0.0008748066814049382,0.005316178418350859,0.005195456413412014,0.18424867754764307,0.767944659939935,-0.5534117798659421,0.10726644003699642,False,3
clahe_s04,0.6841533840762768,15.87243828696065,2.240618694676712,21.185491845403025,-0.0016289480001087098,-0.024835529996733996,-0.0035064986689761213,0.21207658351621106,0.5798001420618083,-0.5432742583613689,0.018262941850219705,False,4
clahe_s06,0.6760985525288129,15.607557154052646,2.224979412708829,21.268117638065906,-0.009683779547572602,-0.28971666290473763,-0.019145780636859122,0.29470237617909234,0.24166404069734174,-0.5131742303212257,-0.13575509481194198,False,5
clahe_s02,0.6266223957298301,14.897635712014921,2.186722146545945,24.0344963302527,-0.059159936346555364,-0.9996381049424627,-0.05740304679974306,3.061081068365887,-0.585494319625475,0.4945991721587549,-0.045447573733360086,False,6
clahe_s07,0.5834128301104774,14.21800260695863,2.1497389852647255,27.163669284392974,-0.1023695019659081,-1.6792712099987543,-0.09438620808096276,6.19025402250616,-1.3851053246221254,1.6345361171073394,0.12471539624260697,False,7
clahe_s01,0.581513653012368,14.19133934707229,2.138089015844311,26.755277190786778,-0.10426867906401749,-1.7059344698850936,-0.10603617750137717,5.781861928899964,-1.6369887070513136,1.485761587111918,-0.07561355996969776,False,8
