stem,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
chazhuang.1,7.53610372543335,0.7169433832168579,5.916484355926514,27.607532728646174,0.5767266750335693,0.5731956958770752,0.9938775501407732,41.07143783569336,40.92534637451172,0.9964429912884345
chichaoyiwan.17,18.18861961364746,0.9961035251617432,12.079262733459473,21.45280957024088,0.08051902800798416,0.08076929301023483,1.0031081348761155,4.4667744636535645,4.516025066375732,1.0110259880170573
donghaiyuanjia.13,13.29059886932373,2.9928808212280273,13.450331687927246,22.946792118567974,0.11295324563980103,0.11152523010969162,0.9873574547647733,7.969227313995361,7.954000949859619,0.9980893548980475
donghaiyuanjia.4,12.407174110412598,2.907343864440918,12.951406478881836,22.919936978498157,0.0795777291059494,0.0780855268239975,0.9812484814537284,5.919248580932617,5.838437557220459,0.9863477562069587
duolie.2,1.0391243696212769,0.31782227754592896,0.6511425971984863,42.60551945102405,0.34146368503570557,0.34205108880996704,1.0017202496144788,24.65342140197754,24.57342529296875,0.9967551720833715
hailianzao.10,5.519319534301758,0.5025683641433716,3.404892683029175,31.745903422118843,0.4461709260940552,0.44998452067375183,1.0085473825122018,22.452850341796875,22.98454475402832,1.0236804861348938
haiyangkadun.18,3.864205837249756,1.2091796398162842,2.9486377239227295,35.37627739431961,0.1305627077817917,0.1298627257347107,0.9946387214725234,12.904595375061035,12.802518844604492,0.9920899084022501
haiyangyuanjia.4,3.603896379470825,0.6904296875,3.554145574569702,29.839115013462518,0.5474264025688171,0.5426450371742249,0.9912657366114946,62.96242904663086,62.080970764160156,0.986000249723468
jiaomaozao.16,1.7936067581176758,0.3209570348262787,1.0778906345367432,41.77880092709745,0.6000735759735107,0.603050172328949,1.0049603839756631,18.420289993286133,18.448884963989258,1.0015523626236067
jiaomaozao.7,0.4291568994522095,0.15832030773162842,0.1701953113079071,50.95056313789934,0.2752891182899475,0.27563852071762085,1.0012692162646113,9.538884162902832,9.522159576416016,0.9982466935126326
lianzhuangluojia.11,7.840970039367676,1.013974666595459,4.181538105010986,29.438796718256807,0.0525776669383049,0.052174340933561325,0.9923289293618568,7.331287860870361,7.298327445983887,0.9955041438138175
limayuanjia.16,20.815732955932617,3.6845507621765137,10.214848518371582,21.1262066327996,0.1879621148109436,0.18812361359596252,1.0008592039109698,14.238999366760254,13.593836784362793,0.9546904549445919
lingxinghaixian.5,13.122194290161133,2.0098047256469727,11.9364652633667,25.646691224289647,0.07627123594284058,0.07723290473222733,1.0126085248900243,3.4558165073394775,3.5001611709594727,1.012831891540822
mishikailun.10,12.809749603271484,0.3906542956829071,6.958940505981445,24.67265237030783,0.19492101669311523,0.1962990015745163,1.007069447398282,13.225495338439941,13.371867179870605,1.0110673994942303
qiangzhuang.1,17.56510353088379,1.2242382764816284,11.068511009216309,21.166815999653075,0.17376485466957092,0.16535133123397827,0.9515809776195958,35.04218673706055,35.2041130065918,1.004620895086875
qiangzhuang.29,3.9374382495880127,0.4869335889816284,2.3557422161102295,32.64628587730844,0.3105885684490204,0.3104342520236969,0.9995031451878694,27.1977481842041,27.22054672241211,1.0008382509115372
ribenxing.2,11.09471321105957,2.116572380065918,5.627172946929932,26.640379520343302,0.17995835840702057,0.17881536483764648,0.9936485608496302,7.781827449798584,7.708619594573975,0.9905924595877416
shikelipu.1,10.743721008300781,1.798925757408142,5.729189395904541,26.835520296161945,0.12866733968257904,0.1273230016231537,0.9895518237006092,9.780472755432129,9.6138334274292,0.9829620374032186
tama.13,4.42451810836792,0.35139647126197815,2.7271728515625,32.986004926964284,0.02724301628768444,0.02813105843961239,1.0325970189920703,6.921778202056885,6.912770748138428,0.9986986790598867
tiaowenhuangou.5,20.144742965698242,4.2216796875,10.235151290893555,21.37467972745245,0.6944947242736816,0.6975544095039368,1.0044056263048642,17.148670196533203,16.382394790649414,0.9553157534632618
weixiaoyuanjia.17,13.118860244750977,2.043750047683716,11.528037071228027,22.829558902912346,0.1585562825202942,0.15361392498016357,0.9688289960485986,7.813698768615723,7.831974506378174,1.0023389354134713
weixiaoyuanjia.5,3.1348860263824463,0.45909178256988525,3.293530225753784,35.0093476550284,0.1571817547082901,0.15589767694473267,0.9918306119067627,12.421018600463867,12.342164993286133,0.9936515988979808
xuehong.12,8.241302490234375,2.3623437881469727,4.363540172576904,28.553997759543584,0.20541349053382874,0.20071756839752197,0.9771391688966379,13.790029525756836,13.57236099243164,0.9842155135416605
yuanhai.13,13.546611785888672,1.9417186975479126,10.881211280822754,22.690921484890115,0.06738116592168808,0.06729481369256973,0.9987184367225532,8.392528533935547,8.333916664123535,0.9930161845064895
zhaixi.3,10.90284538269043,2.0980467796325684,9.688002586364746,27.061871438682363,0.1909513622522354,0.19722694158554077,1.0328647998444278,8.613985061645508,8.889135360717773,1.031942277130878
weixiaoyuanjia.26,37.857181549072266,18.293115615844727,18.488197326660156,15.547939218911928,0.07389680296182632,0.06798283010721207,0.9199698290379472,5.069031238555908,4.66520357131958,0.9203343500657323
xuehong.9,8.22339153289795,2.3669042587280273,4.351830959320068,28.579098755388724,0.22281330823898315,0.2174634486436844,0.9759894926673314,14.461981773376465,14.245147705078125,0.9850066143989669
donghaiyuanjia.26,37.85594177246094,19.998964309692383,17.571245193481445,15.7115434222953,0.11046558618545532,0.09278739988803864,0.8399665656261109,3.8546574115753174,3.4662556648254395,0.8992383223259302
