variant,detector,x_enhancement_var,y_structure_delta,n,pearson,spearman
D01_structure_flow,msfi_50k,mean_abs_bgr_delta,delta_endpoints_per_1k_skel_px,168,0.10836225671405071,0.11622346399274272
D01_structure_flow,msfi_50k,mean_abs_bgr_delta,delta_pred_edge_density,168,-0.020490856684105913,0.06266759298181399
D01_structure_flow,msfi_50k,mean_abs_luma_delta,delta_boundary_f1_tol,168,-0.09945718976231178,-0.15281179551199242
D01_structure_flow,msfi_50k,mean_abs_luma_delta,delta_boundary_precision_tol,168,0.1301893438997716,0.11722737647378158
D01_structure_flow,msfi_50k,mean_abs_luma_delta,delta_boundary_recall_tol,168,-0.27987118793983534,-0.3141889530848436
D01_structure_flow,msfi_50k,mean_abs_luma_delta,delta_false_edge_ratio_tol,168,-0.1301893438997713,-0.11722737647378158
D01_structure_flow,msfi_50k,mean_abs_luma_delta,delta_endpoints_per_1k_skel_px,168,-0.0778062316120203,-0.17763588400913957
D01_structure_flow,msfi_50k,mean_abs_luma_delta,delta_pred_edge_density,168,-0.4586228968146834,-0.5458165793460469
D01_structure_flow,msfi_50k,mean_abs_chroma_delta,delta_boundary_f1_tol,168,-0.00040221114819347434,0.03322560153334615
D01_structure_flow,msfi_50k,mean_abs_chroma_delta,delta_boundary_precision_tol,168,-0.055757391369587433,-0.029515308126286017
D01_structure_flow,msfi_50k,mean_abs_chroma_delta,delta_boundary_recall_tol,168,0.123038062879759,0.12922849199663822
D01_structure_flow,msfi_50k,mean_abs_chroma_delta,delta_false_edge_ratio_tol,168,0.05575739136958723,0.029515308126286017
D01_structure_flow,msfi_50k,mean_abs_chroma_delta,delta_endpoints_per_1k_skel_px,168,0.06485460769155413,0.10108736103979814
D01_structure_flow,msfi_50k,mean_abs_chroma_delta,delta_pred_edge_density,168,0.004134863957737157,0.07479945788865641
D01_structure_flow,msfi_50k,psnr_vs_raw,delta_boundary_f1_tol,168,-0.027970880698657365,-0.015291673100584815
D01_structure_flow,msfi_50k,psnr_vs_raw,delta_boundary_precision_tol,168,-0.08618208961685402,-0.103027710787588
D01_structure_flow,msfi_50k,psnr_vs_raw,delta_boundary_recall_tol,168,0.05095477952863639,0.04377456676916254
D01_structure_flow,msfi_50k,psnr_vs_raw,delta_false_edge_ratio_tol,168,0.08618208961685386,0.103027710787588
D01_structure_flow,msfi_50k,psnr_vs_raw,delta_endpoints_per_1k_skel_px,168,-0.018368954981834933,-0.03660591667264122
D01_structure_flow,msfi_50k,psnr_vs_raw,delta_pred_edge_density,168,0.28768356247992116,0.1929759957060439
D01_structure_flow,msfi_50k,grad_mean_ratio,delta_boundary_f1_tol,168,0.07127573590037689,0.07942710640775459
D01_structure_flow,msfi_50k,grad_mean_ratio,delta_boundary_precision_tol,168,-0.1291913099378069,-0.17054442103325188
D01_structure_flow,msfi_50k,grad_mean_ratio,delta_boundary_recall_tol,168,0.2547564692541689,0.30611365960081227
