variant,stem,status,path,mean_abs_bgr_delta,mean_abs_luma_delta,mean_abs_chroma_delta,psnr_vs_raw,raw_grad_mean,final_grad_mean,grad_mean_ratio,raw_luma_std,final_luma_std,luma_std_ratio
legacy_stage1_final,chazhuang.3,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chazhuang.3_Final.png,99.48009490966797,95.00917053222656,0.05509765446186066,6.652374107445516,0.35204175114631653,1.146262764930725,3.2560420971155497,26.455039978027344,61.47863006591797,2.3238910285017953
legacy_stage1_final,chazhuang.4,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chazhuang.4_Final.png,33.99183654785156,42.514305114746094,15.490863800048828,16.273347376267186,0.09845991432666779,0.6899220943450928,7.007136783086669,4.6736063957214355,23.291223526000977,4.983565484320613
legacy_stage1_final,chazhuang.6,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chazhuang.6_Final.png,35.856136322021484,33.421199798583984,0.07084961235523224,16.276806387340386,0.22743818163871765,1.1167618036270142,4.9101773091503045,15.079992294311523,30.814395904541016,2.0433959978959293
legacy_stage1_final,chichaoyiwan.1,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chichaoyiwan.1_Final.png,37.30644226074219,23.581298828125,17.04889678955078,14.75640697089922,0.07516802847385406,1.9436498880386353,25.857401100486495,3.373218536376953,33.30875015258789,9.874471453156751
legacy_stage1_final,chichaoyiwan.16,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chichaoyiwan.16_Final.png,36.83036422729492,17.5333309173584,19.031728744506836,14.876259340277935,0.08666890859603882,1.216467022895813,14.035794710764554,4.073446273803711,25.64012336730957,6.29445477798651
legacy_stage1_final,chichaoyiwan.2,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chichaoyiwan.2_Final.png,37.38617706298828,24.785985946655273,18.280073165893555,14.959699350461353,0.07467972487211227,1.8241723775863647,24.426607841467284,2.5510356426239014,30.92737579345703,12.123458906094628
legacy_stage1_final,chichaoyiwan.3,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chichaoyiwan.3_Final.png,42.044002532958984,33.69416809082031,18.437421798706055,13.88020106218499,0.0717335119843483,2.159081220626831,30.098640521034095,2.7578723430633545,36.173728942871094,13.116534933438565
legacy_stage1_final,chichaoyiwan.4,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chichaoyiwan.4_Final.png,46.69519805908203,43.024200439453125,18.4859619140625,12.982011916450508,0.07110127061605453,2.635357141494751,37.06483838609283,2.9007372856140137,39.25923156738281,13.534225160117659
legacy_stage1_final,chichaoyiwan.5,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chichaoyiwan.5_Final.png,42.65436935424805,28.752450942993164,15.546953201293945,14.19828334028236,0.06666603684425354,0.3665115237236023,5.497724712241839,11.859307289123535,26.9077205657959,2.2689116579519553
legacy_stage1_final,chichaoyiwan.6,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chichaoyiwan.6_Final.png,39.75090789794922,38.20857238769531,6.00808572769165,15.410933432786544,0.04342668503522873,0.6222590208053589,14.328954788319976,4.173996925354004,20.0339412689209,4.7997019696946905
legacy_stage1_final,chichaoyiwan.7,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\chichaoyiwan.7_Final.png,38.39865493774414,36.534523010253906,6.013862133026123,15.650545923950734,0.04456803947687149,0.6453381180763245,14.479840512872034,4.3017473220825195,19.494958877563477,4.531869822515261
legacy_stage1_final,donghaiyuanjia.12,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.12_Final.png,29.936748504638672,31.327363967895508,18.325448989868164,17.658357817264317,0.07483092695474625,0.5298159122467041,7.080172954251062,4.916294097900391,20.05658721923828,4.079615014025354
legacy_stage1_final,donghaiyuanjia.13,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.13_Final.png,24.768047332763672,18.067724227905273,16.960542678833008,18.868177887550615,0.11295324563980103,0.5914337038993835,5.236092998596303,7.969227313995361,23.346481323242188,2.9295790420373744
legacy_stage1_final,donghaiyuanjia.14,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.14_Final.png,25.06802749633789,19.344999313354492,16.509326934814453,18.942243792321474,0.10307585448026657,0.5687479376792908,5.517761022009418,7.330436706542969,21.98873519897461,2.9996487352995427
legacy_stage1_final,donghaiyuanjia.15,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.15_Final.png,27.7117862701416,25.471240997314453,18.1368408203125,18.366448785688533,0.0989142581820488,0.5680108070373535,5.7424562619626585,6.767454624176025,21.30415153503418,3.1480301996823576
legacy_stage1_final,donghaiyuanjia.16,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.16_Final.png,30.610918045043945,28.023876190185547,14.257070541381836,15.3848305236822,0.059432029724121094,1.1032140254974365,18.562617027482553,4.173556327819824,26.26384735107422,6.2929179054595314
legacy_stage1_final,donghaiyuanjia.17,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.17_Final.png,28.6934757232666,7.610263824462891,14.6966552734375,16.439305774286655,0.12108104676008224,0.6884407997131348,5.685784955191795,6.509620189666748,22.459583282470703,3.450214086940498
legacy_stage1_final,donghaiyuanjia.18,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.18_Final.png,50.1285400390625,38.225772857666016,18.450366973876953,13.113629138509186,0.057311948388814926,1.0584431886672974,18.468106563373407,4.387070655822754,26.007274627685547,5.928164067118258
legacy_stage1_final,donghaiyuanjia.19,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.19_Final.png,49.63526916503906,6.817997932434082,34.69261169433594,11.045261461910641,0.11859603226184845,0.6585726141929626,5.553074551312342,6.480216026306152,20.121782302856445,3.10510980159733
legacy_stage1_final,donghaiyuanjia.20,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.20_Final.png,57.536678314208984,27.329727172851562,27.4534912109375,10.289567575614907,0.12633371353149414,0.4196241497993469,3.321553168570354,13.102209091186523,19.48173713684082,1.4869047654306415
legacy_stage1_final,donghaiyuanjia.21,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.21_Final.png,58.41717529296875,27.410009384155273,28.139995574951172,10.17677515196824,0.1281764805316925,0.4416266977787018,3.4454581097976744,13.095222473144531,19.394845962524414,1.4810627311462623
legacy_stage1_final,donghaiyuanjia.22,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.22_Final.png,59.07424545288086,17.248437881469727,30.402061462402344,10.495031846380448,0.13046544790267944,0.5487953424453735,4.206441989516679,9.11950969696045,17.873973846435547,1.9599709237036074
legacy_stage1_final,donghaiyuanjia.24,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.24_Final.png,62.134979248046875,30.35107421875,29.3950138092041,10.416530113891183,0.1230831891298294,0.44527876377105713,3.6177057427693624,14.311968803405762,20.358339309692383,1.4224695140074175
legacy_stage1_final,donghaiyuanjia.26,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\donghaiyuanjia.26_Final.png,46.813941955566406,38.274658203125,20.075307846069336,12.924326182897325,0.11046558618545532,2.105441093444824,19.059701279730685,3.8546574115753174,33.524295806884766,8.697088280145499
legacy_stage1_final,duolie.5,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\duolie.5_Final.png,63.66046905517578,60.22933578491211,9.2872953414917,11.03409704337118,0.43871963024139404,3.1287155151367188,7.131469148722056,8.397053718566895,36.21698760986328,4.313058939407535
legacy_stage1_final,duolie.6,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\duolie.6_Final.png,59.893157958984375,54.448875427246094,11.1891508102417,11.429056980056785,0.442950963973999,2.791245937347412,6.301478398430076,8.126280784606934,33.279991149902344,4.095353339112652
legacy_stage1_final,duolie.7,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\duolie.7_Final.png,51.3506965637207,47.273887634277344,9.874794960021973,12.889293631230213,0.48090335726737976,2.222141981124878,4.620766195376366,10.031693458557129,29.23392105102539,2.914156136138154
legacy_stage1_final,duolie.8,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\duolie.8_Final.png,45.9969482421875,42.97596740722656,9.016362190246582,13.855656058881532,0.48253753781318665,2.048302412033081,4.244856093623167,10.328519821166992,28.022945404052734,2.713161797289685
legacy_stage1_final,duowenqigou.3,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\duowenqigou.3_Final.png,19.804733276367188,19.69220733642578,5.387036323547363,19.622699539529098,0.8418733477592468,2.619807243347168,3.1118781075659903,18.08929443359375,32.09715270996094,1.774372838366693
legacy_stage1_final,duowenqigou.4,ok,D:\Desktop\Stage1Codex\experiments\h2-full506-direct\outputs\full506\runs\full506_final_mainline\png\Final\duowenqigou.4_Final.png,23.13210678100586,21.66943359375,5.835688591003418,18.523338272977398,0.8621235489845276,3.2330093383789062,3.750053386706498,14.627172470092773,35.7254524230957,2.4424031707904454
