index,filename,stem,suffix,size_bytes,width,height,channels,sha256,source_path
23,donghaiyuanjia.24.jpg,donghaiyuanjia.24,.jpg,14820,320,320,3,43b638ab4f49243bf8b2486e22fb42fe7324fa6660efd807a9679820384b54fe,D:\Desktop\MyEdgeCodex\input_test\algae\donghaiyuanjia.24.jpg
24,donghaiyuanjia.26.jpg,donghaiyuanjia.26,.jpg,17019,320,320,3,8ec2b6abcc311fd827e8955fe0b44f2181318c70a8f80123573c39b5f833f103,D:\Desktop\MyEdgeCodex\input_test\algae\donghaiyuanjia.26.jpg
25,duolie.5.jpg,duolie.5,.jpg,29462,320,320,3,191d830c6f47a925d0f7187a86c6d879efa940994a44872b28686a25307a0524,D:\Desktop\MyEdgeCodex\input_test\algae\duolie.5.jpg
26,duolie.6.jpg,duolie.6,.jpg,29692,320,320,3,4737b9b09f13a1a0c2da352a09c17bb584c979e156f6acd4cc5dc6558715cc1b,D:\Desktop\MyEdgeCodex\input_test\algae\duolie.6.jpg
27,duolie.7.jpg,duolie.7,.jpg,31318,320,320,3,ac620f3360b9a6f6ae28636775160302d15964ec745dc8e6142801a147ecbb00,D:\Desktop\MyEdgeCodex\input_test\algae\duolie.7.jpg
28,duolie.8.jpg,duolie.8,.jpg,30780,320,320,3,07486782c127a94416667ad75aaee885f9f8a0ac1b2c3152d34fd2fb1549a6e6,D:\Desktop\MyEdgeCodex\input_test\algae\duolie.8.jpg
29,duowenqigou.3.jpg,duowenqigou.3,.jpg,40926,320,320,3,a907f1a0f25e197b87f901bcc75e28b9124bafc562e3a69163e92ecb79e3696f,D:\Desktop\MyEdgeCodex\input_test\algae\duowenqigou.3.jpg
30,duowenqigou.4.jpg,duowenqigou.4,.jpg,43669,320,320,3,e12dbb24dfe337a48b154dab49dff784806175abe42379cca6957d716416f7c4,D:\Desktop\MyEdgeCodex\input_test\algae\duowenqigou.4.jpg
31,fanquyuanjia.3.jpg,fanquyuanjia.3,.jpg,36474,320,320,3,b76a83e79c13f9fa878d667767189ff7b0cc1043bfa913a3f4697ba945495163,D:\Desktop\MyEdgeCodex\input_test\algae\fanquyuanjia.3.jpg
32,fanquyuanjia.4.jpg,fanquyuanjia.4,.jpg,29457,320,320,3,6ced5edb819a26dd964bd37172b8f472fb9464f0b89a2ca95daa205eb8eed2f4,D:\Desktop\MyEdgeCodex\input_test\algae\fanquyuanjia.4.jpg
33,gutiao.2.jpg,gutiao.2,.jpg,21337,320,320,3,00b37e6990c290a0bedc2c804e8db836c994feab4ac7b09dbf35bab22c17b7c7,D:\Desktop\MyEdgeCodex\input_test\algae\gutiao.2.jpg
34,hailianzao.10.jpg,hailianzao.10,.jpg,32431,320,320,3,34418d6e5821f0d6c0218d9d5eadb61cb37e985ccab575e7d8de1452ac756df1,D:\Desktop\MyEdgeCodex\input_test\algae\hailianzao.10.jpg
35,hailianzao.6.jpg,hailianzao.6,.jpg,31341,320,320,3,e0a777274b2d475888fa29fd2f9e40ae069517df9824bd6da7a4382e7150879c,D:\Desktop\MyEdgeCodex\input_test\algae\hailianzao.6.jpg
36,hailianzao.7.jpg,hailianzao.7,.jpg,26586,320,320,3,9471f2c443ca8b93e84634ba6ea2c67060e55f118ec97717a91178b505d0c9ac,D:\Desktop\MyEdgeCodex\input_test\algae\hailianzao.7.jpg
37,hailianzao.8.jpg,hailianzao.8,.jpg,27696,320,320,3,55e2122e6e81259f8a7c1c458553d28cc226f1225b456c30d3cd7ed1f74b9829,D:\Desktop\MyEdgeCodex\input_test\algae\hailianzao.8.jpg
38,haiyangkadun.10.jpg,haiyangkadun.10,.jpg,17599,320,320,3,1a9bdf1c342ba5d7429439d7e273041d017163b4bce7991d3166bf986594918a,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.10.jpg
39,haiyangkadun.11.jpg,haiyangkadun.11,.jpg,17629,320,320,3,763582f386dcc9172d496c5f388403c685772f6b56e592f0403a3b27a05552cd,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.11.jpg
40,haiyangkadun.12.jpg,haiyangkadun.12,.jpg,16715,320,320,3,d0fd3751daef57aa8c8cd94628903fc2a299e476f5d810d38127a1316f7de7ac,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.12.jpg
41,haiyangkadun.13.jpg,haiyangkadun.13,.jpg,11544,320,320,3,9973c40ce71650c392629665acd1e6cb2844f73cd39a7e669d9f61def5c99e15,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.13.jpg
42,haiyangkadun.14.jpg,haiyangkadun.14,.jpg,10528,320,320,3,0a2466c7273388d7f923ba30db725407e6bd34c2be7213081b45c144a00c84ce,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.14.jpg
43,haiyangkadun.15.jpg,haiyangkadun.15,.jpg,13019,320,320,3,579332f86cd56f0e2a2bb5a80e80a3d6bc07b80569dd1a4f67d29f853a6b5d42,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.15.jpg
44,haiyangkadun.16.jpg,haiyangkadun.16,.jpg,12176,320,320,3,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg
45,haiyangkadun.19.jpg,haiyangkadun.19,.jpg,18938,320,320,3,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg
46,haiyangkadun.20.jpg,haiyangkadun.20,.jpg,26877,320,320,3,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg
47,haiyangkadun.9.jpg,haiyangkadun.9,.jpg,17872,320,320,3,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg
48,haiyangyuanjia.6.jpg,haiyangyuanjia.6,.jpg,17656,320,320,3,4478b9132a321e40ff8c0a2b2d07edbea83ddc2fe58a67c2403d50b0ef1337b8,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangyuanjia.6.jpg
49,haiyangyuanjia.7.jpg,haiyangyuanjia.7,.jpg,18869,320,320,3,419f6cef1f72436607cd59ba107ae91f9cda73995ebc3fa8a5c399032e5096d5,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangyuanjia.7.jpg
50,haiyangyuanjia.8.jpg,haiyangyuanjia.8,.jpg,22661,320,320,3,d8d84050eedb2caa243f86a6e2570f3810416490e3fe3c50940fdd50d4e2131c,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangyuanjia.8.jpg
51,jianci.4.jpg,jianci.4,.jpg,13098,320,320,3,35a28f1cef54067e8b7d2de716f7d36460186a951594aa01043fcd19604d2497,D:\Desktop\MyEdgeCodex\input_test\algae\jianci.4.jpg
52,jianci.5.jpg,jianci.5,.jpg,15398,320,320,3,ed1f6938ed3f5db7c3cfd00c9835d05d6df5f70d576a84ff3d6d031e7dac970e,D:\Desktop\MyEdgeCodex\input_test\algae\jianci.5.jpg
53,jianci.6.jpg,jianci.6,.jpg,24733,320,320,3,3a8c046059b6f1e049a8bc5da0ee9d9f1e56b7e08542a34915307fd3da6d59be,D:\Desktop\MyEdgeCodex\input_test\algae\jianci.6.jpg
54,jiaomaozao.13.jpg,jiaomaozao.13,.jpg,32812,320,320,3,947446d72725d71b342185e36f33c24c0a227b25b90b17f210d4f09d36514ead,D:\Desktop\MyEdgeCodex\input_test\algae\jiaomaozao.13.jpg
55,jiaomaozao.14.jpg,jiaomaozao.14,.jpg,38358,320,320,3,a4961d2c7b6f0da037a38ed8be0fe685a3040c4e1142e250617b2839510cfd0d,D:\Desktop\MyEdgeCodex\input_test\algae\jiaomaozao.14.jpg
56,jiaomaozao.17.jpg,jiaomaozao.17,.jpg,25685,320,320,3,4ade7988966a2d4c0a1f25bde7568bdd2c4781160c9bc7aaeb8683283b359bc4,D:\Desktop\MyEdgeCodex\input_test\algae\jiaomaozao.17.jpg
57,jiaomaozao.18.jpg,jiaomaozao.18,.jpg,30203,320,320,3,29025e321a53a91a65f0e3f84037b4aee45e4de9f74520738a779359bfc505fd,D:\Desktop\MyEdgeCodex\input_test\algae\jiaomaozao.18.jpg
58,jiaomaozao.19.jpg,jiaomaozao.19,.jpg,40189,320,320,3,b702eca164ac251ce12d99ce8721a676d0a046a4b3be8a0736a1af1f7f86d3f5,D:\Desktop\MyEdgeCodex\input_test\algae\jiaomaozao.19.jpg
59,jiaomaozao.26.jpg,jiaomaozao.26,.jpg,37746,320,320,3,9c1b2198be4e78c5107c0b1000ba55813d69237db7954d48f488d5ddf875f037,D:\Desktop\MyEdgeCodex\input_test\algae\jiaomaozao.26.jpg
60,jiaomaozao.27.jpg,jiaomaozao.27,.jpg,26237,320,320,3,7094c60f01b05feab4362e56bcbbbca331903ef0f92bafe084ac4a07ebbf32c2,D:\Desktop\MyEdgeCodex\input_test\algae\jiaomaozao.27.jpg
