# filename                     EME     EMEE     Entropy  Contrast   AvgGra  SIFT_KP  MS_SSIM  PSNR     UCIQE    UIQM
donghaiyuanjia.10_Abc.jpg      0.6710  0.3367   2.4316   8.4985     1.1117   119     0.9974  30.0868   0.5280  1.8120
donghaiyuanjia.11_Abc.jpg      1.0855  0.3594   3.0959   13.6472    1.7977   101     0.9969  31.3433   0.7706  3.0508
donghaiyuanjia.13_Abc.jpg      1.1244  0.3616   3.0778   13.3878    2.0307   131     0.9972  31.0475   0.7362  3.1223
donghaiyuanjia.14_Abc.jpg      0.9712  0.3532   2.9889   13.1747    1.6822   176     0.9976  32.1310   0.6461  2.5874
donghaiyuanjia.15_Abc.jpg      0.8721  0.3478   2.7959   10.2891    1.3539   110     0.9980  30.6307   0.4436  2.3526
donghaiyuanjia.4_Abc.jpg       0.7604  0.3416   2.7398   5.1209     1.1268   48      0.9974  32.3128   0.5601  2.2460
donghaiyuanjia.5_Abc.jpg       0.7908  0.3433   2.9719   8.4231     1.1577   57      0.9965  31.3903   0.5707  2.1192
donghaiyuanjia.8_Abc.jpg       0.9656  0.3528   3.0783   8.5139     1.6406   85      0.9970  31.8456   0.6170  2.6728
donghaiyuanjia.9_Abc.jpg       0.8996  0.3492   2.8878   7.6997     1.3647   88      0.9974  30.8719   0.6202  2.5464
