# Image Metrics (EME/EMEE/Entropy/Contrast/AvgGradient/SIFT_KP/MS_SSIM/PSNR/UCIQE/UIQM)
# Folder: D:\Desktop\Stage1\results\Final
# Time: 2026-03-13 17:39:54
# Notes:AvgGra -> AverageGradient
# Columns:
# filename                     EME     EMEE     Entropy  Contrast   AvgGra  SIFT_KP  MS_SSIM  PSNR     UCIQE    UIQM    
donghaiyuanjia.10_Final.jpg    3.5490  0.5013   4.0563   252.7943   5.4078   674     0.9042  19.9612   1.6669  8.2820  
donghaiyuanjia.11_Final.jpg    5.1602  0.5914   4.1843   339.4646   6.8502   1062    0.9180  23.5029   1.8237  11.3536 
donghaiyuanjia.12_Final.jpg    4.5916  0.5599   4.5144   367.0274   7.0557   920     0.8504  23.2042   1.2113  10.0072 
donghaiyuanjia.13_Final.jpg    5.1315  0.5908   4.1537   299.0997   6.4141   1016    0.8965  19.9517   1.8272  10.7875 
donghaiyuanjia.14_Final.jpg    4.8023  0.5731   4.2590   347.6700   6.3127   953     0.9069  23.6027   1.3876  9.9127  
donghaiyuanjia.15_Final.jpg    4.6638  0.5635   4.1034   320.7997   6.2680   983     0.9295  22.0879   0.9697  9.6242  
donghaiyuanjia.2_Final.jpg     4.1531  0.5329   4.2902   255.1146   6.1762   778     0.8453  17.9084   1.2685  8.7342  
donghaiyuanjia.4_Final.jpg     4.2675  0.5396   4.3828   227.3732   6.0649   815     0.8711  18.7106   1.6853  9.8443  
donghaiyuanjia.5_Final.jpg     4.3426  0.5444   4.3288   333.5310   6.6367   1038    0.8510  17.9115   1.3838  9.3672  
donghaiyuanjia.7_Final.jpg     6.2769  0.6576   4.5409   411.8107   8.0542   1220    0.8471  19.9419   1.3718  12.6817 
donghaiyuanjia.8_Final.jpg     4.9485  0.5801   4.2010   299.8303   6.4648   1009    0.9133  22.6337   1.3235  10.1186 
donghaiyuanjia.9_Final.jpg     5.2150  0.5950   4.2174   287.2366   6.4388   1077    0.8976  22.7380   1.3007  10.5376 
duanjiao.10_Final.jpg          8.3136  0.7660   5.5580   507.7049   11.6868  1703    0.9315  24.0228   4.2771  22.5559 
duowenqigou.1_Final.jpg        16.9369 1.2392   6.7918   748.3402   28.0409  9814    0.8267  21.6595   6.3265  37.9170 
duowenqigou.2_Final.jpg        19.3051 1.3735   6.8058   806.9265   28.8769  10014   0.8409  22.2941   6.4120  42.0292 
duowenqigou.3_Final.jpg        15.9151 1.1832   6.6662   720.2459   26.2948  9100    0.8529  22.1530   5.8806  35.9264 
fanquyuanjia.1_Final.jpg       7.0508  0.6957   5.0637   432.0960   10.3890  1799    0.9415  24.0283   7.3517  20.9516 
fanquyuanjia.2_Final.jpg       8.7237  0.7885   5.7710   501.8322   12.8784  1893    0.9358  20.4522   5.5957  23.7774 
fanquyuanjia.3_Final.jpg       9.4804  0.8305   5.7845   593.2391   14.5342  2520    0.9276  19.5046   5.5246  25.0697 
fanquyuanjia.4_Final.jpg       7.2157  0.7055   4.9668   451.2614   10.4124  1924    0.9478  23.4668   6.7919  20.7641 
hailianzao.10_Final.jpg        12.3611 0.9911   6.0092   452.3854   14.4979  3887    0.9247  22.6409   9.8716  27.3305 
hailianzao.3_Final.jpg         7.6481  0.7263   6.7798   227.7099   8.3848   1341    0.8413  18.4661   3.8716  17.7243 
hailianzao.4_Final.jpg         9.2757  0.8160   6.0350   323.7465   10.8700  2116    0.7803  18.9834   3.5901  22.1299 
hailianzao.7_Final.jpg         10.5238 0.8931   5.8696   676.8325   14.3034  3010    0.9263  15.4290   5.5427  21.8537 
haiyangkadun.10_Final.jpg      4.7488  0.5676   4.7034   266.3154   7.2328   923     0.9202  17.2663   3.7927  13.3642 
haiyangkadun.11_Final.jpg      5.0403  0.5852   4.5522   260.5421   6.9934   915     0.9231  17.3218   4.0357  13.6844 
haiyangkadun.12_Final.jpg      4.2991  0.5405   4.6818   240.6620   6.9980   799     0.8929  17.7497   3.0627  12.7084 
haiyangkadun.18_Final.jpg      4.3899  0.5431   5.2480   215.2804   7.5629   1527    0.9161  25.7769   3.9075  12.3692 
haiyangkadun.19_Final.jpg      5.1746  0.5880   5.3648   242.0221   8.3399   1623    0.8938  21.0845   3.4518  14.0843 
haiyangkadun.1_Final.jpg       6.4025  0.6585   5.2187   231.1906   7.4224   899     0.8656  23.8957   3.3534  16.4340 
haiyangkadun.20_Final.jpg      7.7321  0.7288   5.9092   197.0174   8.8969   1729    0.9267  25.1505   7.1283  19.9122 
haiyangkadun.21_Final.jpg      7.3490  0.7116   6.7268   361.1608   9.6571   1631    0.9021  22.0660   3.7063  16.3883 
haiyangkadun.22_Final.jpg      4.2643  0.5378   4.2313   145.4958   5.6675   915     0.9610  23.8642   5.1676  10.5420 
haiyangkadun.23_Final.jpg      4.4503  0.5494   4.5241   237.4676   6.5789   843     0.9239  17.0777   3.6543  11.7113 
haiyangkadun.24_Final.jpg      6.2969  0.6532   5.0354   267.5574   7.8048   967     0.8790  23.1017   3.5527  16.0705 
haiyangkadun.3_Final.jpg       5.9642  0.6358   4.9473   288.3497   7.9156   1091    0.9059  23.9021   3.1169  15.3550 
haiyangkadun.4_Final.jpg       6.8489  0.6851   5.0542   315.8285   8.9319   1098    0.8844  21.4527   3.6439  16.6754 
haiyangkadun.5_Final.jpg       6.8990  0.6901   4.8381   390.6168   9.3600   1358    0.9199  24.0739   3.9970  16.6100 
haiyangkadun.6_Final.jpg       4.9590  0.5783   4.6264   284.0232   7.6217   996     0.8906  19.5289   4.0798  13.7620 
haiyangkadun.7_Final.jpg       5.4668  0.6070   4.9356   306.6302   8.3546   1043    0.8591  18.5921   3.3600  15.2305 
haiyangkadun.8_Final.jpg       5.1940  0.5908   4.8060   291.7434   8.0263   985     0.8671  19.4174   3.4948  13.9350 
haiyangkadun.9_Final.jpg       4.6084  0.5600   4.5412   272.7117   6.7611   882     0.9291  17.1579   3.7309  11.7709 
haiyangyuanjia.10_Final.jpg    8.4151  0.7736   5.3545   430.8750   10.9614  1839    0.9022  18.2546   5.0727  19.6504 
haiyangyuanjia.1_Final.jpg     8.3468  0.7670   5.6205   508.8331   12.7087  1718    0.9070  18.9444   4.7343  23.1054 
haiyangyuanjia.2_Final.jpg     8.2449  0.7610   5.7225   518.4458   13.0298  1700    0.9104  19.2901   3.7340  22.8915 
haiyangyuanjia.3_Final.jpg     7.7265  0.7309   5.7768   338.5608   10.0743  1714    0.9179  18.7110   9.5838  20.6780 
jiaomaozao.10_Final.jpg        12.4618 0.9925   6.4788   454.3040   15.8308  3190    0.8814  19.3646   6.9992  29.0338 
jiaomaozao.12_Final.jpg        19.7889 1.4082   6.8648   726.5429   22.1749  4762    0.8655  19.2126   7.2238  43.5162 
jiaomaozao.15_Final.jpg        10.8024 0.9027   6.4871   413.2662   13.2167  2936    0.9287  18.9237   7.9688  25.3791 
jiaomaozao.17_Final.jpg        9.6717  0.8410   5.7949   328.0103   10.1392  2179    0.8967  25.0176   7.4934  22.9816 
jiaomaozao.21_Final.jpg        18.4533 1.3443   5.8903   1168.3756  22.0582  4768    0.8106  21.4732   4.0549  38.0560 
jiaomaozao.30_Final.jpg        16.1776 1.2015   6.6608   542.1897   17.8989  3919    0.8756  22.4595   9.1467  36.9257 
jiaomaozao.6_Final.jpg         12.2393 0.9859   6.7133   415.3803   12.4321  2495    0.8851  22.3810   4.1201  26.9885 
jiaomaozao.9_Final.jpg         14.1606 1.0891   6.6086   475.2346   16.6565  3599    0.8337  20.4187   8.1038  33.5313 
lianzhuang.7_Final.jpg         5.9484  0.6296   5.2564   321.6971   9.9066   1643    0.8994  24.0616   8.5688  19.1659 
