method,method_role,stem,raw_filename,raw_sha256,raw_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM,SSEQ,SIFT_GOOD_MATCHES,SIFT_MATCH_RATIO,SIFT_RAW_KEYPOINTS,SIFT_ENHANCED_KEYPOINTS,SIFT_MATCH_STATUS,SSEQ_S1_SPATIAL_MEAN,SSEQ_S1_SPATIAL_SKEW,SSEQ_S1_SPECTRAL_MEAN,SSEQ_S1_SPECTRAL_SKEW,SSEQ_S2_SPATIAL_MEAN,SSEQ_S2_SPATIAL_SKEW,SSEQ_S2_SPECTRAL_MEAN,SSEQ_S2_SPECTRAL_SKEW,SSEQ_S3_SPATIAL_MEAN,SSEQ_S3_SPATIAL_SKEW,SSEQ_S3_SPECTRAL_MEAN,SSEQ_S3_SPECTRAL_SKEW
Ours,legacy_ours_reference,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chichaoyiwan.1.png,35.4924195,2.302086735,7.105771555,1666.756132,45.96398636,0.2894762754,15.25739686,2.979310561,68.24114638,2.448155038,0,0,12,1077,ok,4.820968029,-0.6919299676,0.1021506899,1.175466476,5.100207137,-0.5276984303,0.03169041872,2.603645814,4.62267627,-0.02421823803,0.01123768061,1.784300565
HVDualformer,enhancement_reference,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\chichaoyiwan.1.jpg,1.08198302,0.3591892006,3.212758067,5.325367359,1.475510732,0.9930249453,29.35168688,0.4748848205,3.767869815,1.102133465,11,0.9166666667,12,18,ok,2.379824779,2.860787975,0.0009384556582,11.3459669,2.249976517,3.272323582,0.0007467968008,10.17119415,1.98067319,2.93179677,0.0006410526949,5.762752531
ABC-Former,enhancement_reference,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\chichaoyiwan.1.jpg,0.8623404363,0.3471473843,2.844246785,4.607964342,1.280923719,0.9981744289,35.65096552,0.5497479213,2.639816396,0.9316973611,11,0.9166666667,12,18,ok,2.116497348,3.383157686,0.0007104955419,11.014599,1.892251861,3.995850664,0.0005117944268,9.856615985,1.579796008,3.421538736,0.0004166597467,5.62268299
GDCP,enhancement_reference,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\chichaoyiwan.1.jpg,2.855608055,0.4587822376,4.424602572,29.41631563,3.968708313,0.9291126132,25.50386898,1.198937453,11.72474609,1.620149341,8,0.6666666667,12,36,ok,3.587724888,1.501818975,0.003333923881,10.12008729,3.279945478,2.828445935,0.002635969063,9.300290589,2.845194475,2.811060143,0.002061309855,5.460129202
CBF,enhancement_reference,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\chichaoyiwan.1.jpg,6.928885603,0.6800154089,6.403005745,69.63240106,8.958585809,0.5968097448,17.46089484,1.94764637,19.45435244,2.145564278,6,0.5,12,553,ok,4.443914266,-1.603645839,0.01278226394,6.531599732,4.280750701,-1.267100115,0.009054502567,6.261826493,4.120628028,-1.497706411,0.006255903764,4.532523714
HLRP,enhancement_high_noise_diagnostic,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\chichaoyiwan.1.jpg,12.09792101,0.9652411853,6.501598701,119.5013862,12.9776662,0.3201584518,13.27173019,1.300779043,28.41199727,2.438240354,1,0.08333333333,12,2201,ok,4.991356714,-1.010023601,0.03361898875,6.066869833,4.902191679,-0.41893329,0.02745432674,5.351305921,4.656397357,0.1668948975,0.01842305652,5.71322304
SGUIE-Net,enhancement_reference,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\chichaoyiwan.1.jpg,1.375902972,0.3753994773,3.698712511,9.124230995,1.666667931,0.9792821407,30.81057232,1.267719459,5.204953448,1.273320306,10,0.8333333333,12,24,ok,2.587660182,0.5218058535,0.001426023714,10.3213527,2.650127229,2.555561066,0.001162204104,9.533979655,2.398559447,2.464690745,0.0009867529291,5.687273223
Histoformer,enhancement_high_noise_diagnostic,chichaoyiwan.1,chichaoyiwan.1.jpg,19e6c90b860f5d1422c9fd3916d80902d9c1f4fceb6c1371c332d37ab6592359,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.1.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\chichaoyiwan.1.jpg,31.12438001,2.046445086,7.331084815,1113.33413,38.78527815,0.1208604053,12.87480116,5.2522905,62.16392908,2.683362848,1,0.08333333333,12,2787,ok,5.015618134,-0.2884577798,0.1136569073,2.365952817,5.487575722,-0.9874599165,0.08178422222,3.061090926,5.347283217,-0.1304239493,0.05425888635,2.118630711
raw,anchor_raw,chichaoyiwan.16,chichaoyiwan.16.jpg,1ec852406e00d3dfe745c2fa9f7c188455d40639b2349cc227356e05ca5887f5,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,0.915254159,0.3500112333,3.036651771,5.055789577,1.513512993,1,361.2019991,0.7192315477,3.316888463,0.94056442,,,,,reference_na,2.173033145,3.342491525,0.0007731461808,8.49330879,1.842307792,3.541382318,0.0006079995993,7.523312345,1.626151665,2.643795476,0.0005127718841,5.328958224
Ours,legacy_ours_reference,chichaoyiwan.16,chichaoyiwan.16.jpg,1ec852406e00d3dfe745c2fa9f7c188455d40639b2349cc227356e05ca5887f5,D:\Desktop\MyEdgeCodex\input_test\algae\chichaoyiwan.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\chichaoyiwan.16.png,17.24294199,1.255165704,6.849652424,949.7776793,32.31693773,0.4108230472,18.564709,1.48199076,37.68885936,2.364057152,3,0.1071428571,28,966,ok,4.771797488,-0.4922493417,0.04912176917,4.573857264,4.869511669,0.3429491235,0.01803083581,5.394947896,4.466133839,0.6914621076,0.009747311051,4.203131141
