method,method_role,stem,raw_filename,raw_sha256,raw_path,result_path,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM,SSEQ,SIFT_GOOD_MATCHES,SIFT_MATCH_RATIO,SIFT_RAW_KEYPOINTS,SIFT_ENHANCED_KEYPOINTS,SIFT_MATCH_STATUS,SSEQ_S1_SPATIAL_MEAN,SSEQ_S1_SPATIAL_SKEW,SSEQ_S1_SPECTRAL_MEAN,SSEQ_S1_SPECTRAL_SKEW,SSEQ_S2_SPATIAL_MEAN,SSEQ_S2_SPATIAL_SKEW,SSEQ_S2_SPECTRAL_MEAN,SSEQ_S2_SPECTRAL_SKEW,SSEQ_S3_SPATIAL_MEAN,SSEQ_S3_SPATIAL_SKEW,SSEQ_S3_SPECTRAL_MEAN,SSEQ_S3_SPECTRAL_SKEW
raw,anchor_raw,haiyangkadun.16,haiyangkadun.16.jpg,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,0.6787042814,0.3371749854,3.447568473,2.795802312,0.9327941149,1,361.2019991,2.332036075,2.157617691,0.7465707973,,,,,reference_na,1.513199475,3.388148212,0.0009647612026,10.4039754,1.377844755,3.495979712,0.001544307082,7.837290173,1.583150049,2.449558279,0.002721436788,4.923048866
Ours,legacy_ours_reference,haiyangkadun.16,haiyangkadun.16.jpg,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\haiyangkadun.16.png,3.787063775,0.5094219401,5.27838376,101.6371424,8.197770565,0.866753161,18.9266487,2.809263859,11.67736276,1.6532872,3,0.5,6,21,ok,3.079346011,0.6238598144,0.007529385941,8.531570948,3.460372758,1.635862283,0.005437738159,7.421758853,3.361576594,1.111782836,0.005460714405,5.059178489
HVDualformer,enhancement_reference,haiyangkadun.16,haiyangkadun.16.jpg,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\haiyangkadun.16.jpg,0.7805884928,0.3428253671,3.491822875,3.61012931,1.059121808,0.9950699806,27.78704058,1.988043345,2.525616977,0.8244721842,3,0.5,6,6,ok,1.688681662,3.357404896,0.001268620409,10.21091458,1.545272848,3.733088568,0.002131372714,7.616011815,1.705925263,2.526082907,0.003553338553,4.891624088
ABC-Former,enhancement_reference,haiyangkadun.16,haiyangkadun.16.jpg,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\haiyangkadun.16.jpg,0.7714096634,0.3422342414,3.632586052,3.529785462,1.264798431,0.9981216788,45.65672951,2.099426123,2.488581967,0.8376925786,6,1,6,11,ok,1.794819981,2.674223289,0.001009667218,10.37610985,1.546478694,3.502315502,0.001579771164,7.839290178,1.679515586,2.451686166,0.002751772495,4.917182207
GDCP,enhancement_reference,haiyangkadun.16,haiyangkadun.16.jpg,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\haiyangkadun.16.jpg,1.730280646,0.3950553705,5.175321245,11.62746375,2.807994183,0.9502480626,19.86744622,3.807151873,8.914566118,1.50260119,6,1,6,18,ok,3.081584823,-0.5439779353,0.002214876513,10.83712998,2.890655563,1.960729782,0.003037132032,8.155912582,3.033394138,1.346562684,0.004720603933,4.653383025
CBF,enhancement_reference,haiyangkadun.16,haiyangkadun.16.jpg,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\haiyangkadun.16.jpg,2.65156739,0.4454321348,6.367569289,13.62011658,3.199577285,0.7903493643,16.33849005,1.89659066,9.995514557,1.715662321,4,0.6666666667,6,6,ok,3.224793556,-1.371279843,0.003470551305,10.3830271,3.304002043,0.07724591259,0.005167213398,7.406958608,3.748730273,-0.04276285675,0.007810288135,4.840064045
HLRP,enhancement_high_noise_diagnostic,haiyangkadun.16,haiyangkadun.16.jpg,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\haiyangkadun.16.jpg,16.41557684,1.207983904,7.753746152,129.4978791,12.46149788,0.3202633858,8.977393735,6.521820678,37.54334495,2.462020055,0,0,6,1318,ok,4.800478729,-3.933492177,0.05795045105,3.885592764,4.789695123,-1.957770527,0.05543501554,4.524664162,5.0015141,-0.4737679297,0.06704691364,1.255876771
SGUIE-Net,enhancement_reference,haiyangkadun.16,haiyangkadun.16.jpg,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\haiyangkadun.16.jpg,1.678341964,0.393913771,4.577396144,10.59186912,1.952966775,0.9599189758,18.92037865,3.393947321,6.227050387,1.271201234,6,1,6,23,ok,2.478158308,-0.2687540678,0.002932478517,10.15431717,2.488681772,2.208203438,0.003956446049,7.865261184,2.648127273,1.495524458,0.005351128507,4.756874298
Histoformer,enhancement_high_noise_diagnostic,haiyangkadun.16,haiyangkadun.16.jpg,ecccb0cc60d04d4b2a36619d60cbc6d5c3094675abb2a7f158e84e10a36caed4,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.16.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\haiyangkadun.16.jpg,9.604763835,0.8331893028,7.180793125,141.6049422,12.12157011,0.4780324399,15.26027252,5.426804366,26.56644028,2.271816698,0,0,6,487,ok,4.293837296,-0.5544574501,0.02102352174,8.10431841,4.533672517,-0.2518500172,0.01905207674,7.442013243,4.741232711,-0.4778304398,0.02208206513,4.186623824
raw,anchor_raw,haiyangkadun.19,haiyangkadun.19.jpg,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,1.400268295,0.3766437539,4.044863317,12.60159679,2.331442431,1,361.2019991,2.978395058,4.872437786,1.099057955,,,,,reference_na,2.345629459,1.62494111,0.001834128518,7.831204505,2.10085748,1.599817553,0.001912827673,7.198300945,2.140880699,1.870464157,0.003233136391,4.419365122
Ours,legacy_ours_reference,haiyangkadun.19,haiyangkadun.19.jpg,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\haiyangkadun.19.png,7.393793258,0.7114752615,5.613347825,542.4018662,14.53662663,0.8909896016,23.33129512,4.06449779,19.18912698,1.720749114,9,0.2647058824,34,110,ok,3.500261771,0.7455907861,0.02367602136,4.18591346,3.50859635,1.135619492,0.007866473463,6.207445449,3.27739315,1.110140955,0.006700915618,4.505158719
HVDualformer,enhancement_reference,haiyangkadun.19,haiyangkadun.19.jpg,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\haiyangkadun.19.jpg,1.54013794,0.3844127313,3.960644183,13.37612167,2.402333791,0.9939673543,36.38654542,2.119475255,5.22972876,1.148307292,29,0.8529411765,34,40,ok,2.431268432,1.597572582,0.002384391355,8.052919455,2.210570374,1.503205236,0.002779980028,6.808188648,2.238059714,1.503679862,0.004780858363,4.337953815
ABC-Former,enhancement_reference,haiyangkadun.19,haiyangkadun.19.jpg,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\haiyangkadun.19.jpg,1.439093247,0.3787560391,4.225931396,13.08732367,2.476620085,0.9983330369,39.03024247,2.688589173,5.229905752,1.15529085,32,0.9411764706,34,41,ok,2.47446515,1.558807755,0.001835554947,7.816315534,2.22131533,1.600294482,0.001906642836,7.205516558,2.229000505,1.728895743,0.003221915108,4.426700873
GDCP,enhancement_reference,haiyangkadun.19,haiyangkadun.19.jpg,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\haiyangkadun.19.jpg,3.906075308,0.5145194071,5.695215373,55.49903997,6.158689463,0.9108330011,27.76757615,4.586101824,15.10410188,1.829258674,12,0.3529411765,34,170,ok,3.825189097,0.8720586024,0.006176886471,5.197352693,3.569643071,1.01428064,0.004868977192,6.423230258,3.56388776,1.209669085,0.005786251234,4.355179561
CBF,enhancement_reference,haiyangkadun.19,haiyangkadun.19.jpg,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\haiyangkadun.19.jpg,4.874498851,0.5679440862,6.450621757,95.45983542,7.256466476,0.7818924189,16.03665096,2.997145322,15.68488631,1.899905089,13,0.3823529412,34,129,ok,3.815007711,-0.1475460914,0.009695511684,5.758682776,3.649995612,0.4988868811,0.007298320362,6.111556401,3.907111117,0.08198966722,0.01032226236,4.192351971
HLRP,enhancement_high_noise_diagnostic,haiyangkadun.19,haiyangkadun.19.jpg,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\haiyangkadun.19.jpg,15.42087076,1.159053693,7.388494376,205.9654928,13.29174885,0.3858980238,10.09078424,4.466843886,35.03433228,2.411249329,0,0,34,958,ok,4.755813975,-2.82251296,0.06128052534,3.25296055,4.740365483,-1.87097647,0.0526306017,3.737592086,4.806998455,-1.804959435,0.0504069342,3.703666138
SGUIE-Net,enhancement_reference,haiyangkadun.19,haiyangkadun.19.jpg,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\haiyangkadun.19.jpg,2.743540557,0.4510497032,4.850186407,36.21351391,4.129415735,0.9626842737,28.14285034,3.917713281,10.04839885,1.491327974,25,0.7352941176,34,111,ok,3.122836421,0.2410946459,0.004820785557,7.612226542,2.932640969,1.051135544,0.004272557912,6.743624685,2.877519898,1.291337489,0.00587721211,4.36566498
Histoformer,enhancement_high_noise_diagnostic,haiyangkadun.19,haiyangkadun.19.jpg,b139641dea08297ae2ac0abb57a8dcba27560bb047748941eaf829a4428d7690,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.19.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\haiyangkadun.19.jpg,12.88606931,1.016341735,7.220925326,459.4872845,18.76150398,0.498287648,15.92499585,8.242374264,31.99711432,2.381458632,4,0.1176470588,34,838,ok,4.689759427,-0.1249979818,0.0475596532,3.048174356,4.698644828,-0.1176574287,0.03230180415,4.024646487,4.787959313,0.02307328602,0.03252676518,4.135144021
raw,anchor_raw,haiyangkadun.20,haiyangkadun.20.jpg,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,3.234887438,0.4772253327,5.953559487,17.38883229,3.64235328,1,361.2019991,9.604426403,12.71847027,1.712411573,,,,,reference_na,3.354869632,0.7768916809,0.005331000692,2.782637853,3.325887001,0.4374048083,0.00844794385,2.255408232,3.564626918,0.1560463503,0.01530693943,1.734806
Ours,legacy_ours_reference,haiyangkadun.20,haiyangkadun.20.jpg,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\haiyangkadun.20.png,11.39199291,0.9352852938,6.486588307,398.9823227,15.23497553,0.8727424145,21.76010112,8.489309422,28.51348039,2.023075265,15,0.0641025641,234,622,ok,4.244420999,0.4174145498,0.03838840428,2.109912677,3.969627689,0.4645160468,0.02495257008,1.766996835,3.837381851,0.2542570243,0.02368007619,1.614169873
HVDualformer,enhancement_reference,haiyangkadun.20,haiyangkadun.20.jpg,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\haiyangkadun.20.jpg,3.617144794,0.4983970894,5.966611243,18.13763715,3.678111937,0.9866496921,26.2760887,8.109113493,13.34190819,1.719420975,141,0.7421052632,234,190,ok,3.357946962,0.8716367191,0.006621898732,2.862841635,3.334322884,0.5116790393,0.01123245986,2.387628433,3.584781466,0.1903965065,0.02162018179,1.901932347
ABC-Former,enhancement_reference,haiyangkadun.20,haiyangkadun.20.jpg,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\haiyangkadun.20.jpg,3.022047299,0.4654821759,5.965574584,17.33005976,3.653896747,0.9956211448,35.98471909,8.37345389,11.8678565,1.738463026,196,0.9032258065,234,217,ok,3.388739378,0.8289557891,0.004652618486,2.80070612,3.3928271,0.4738387655,0.007255347269,2.326827541,3.623921336,0.1476788181,0.01338237726,1.766522324
GDCP,enhancement_reference,haiyangkadun.20,haiyangkadun.20.jpg,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\haiyangkadun.20.jpg,6.96903842,0.6840140339,6.829474872,51.14319651,7.329348947,0.8522548079,15.47385038,11.3360386,21.72960677,2.170038399,21,0.08974358974,234,345,ok,4.318079463,0.4264576886,0.01338133407,3.586015295,4.259672751,0.6141697203,0.01497934658,2.838986304,4.393440366,0.3806492855,0.02067713217,1.936358861
CBF,enhancement_reference,haiyangkadun.20,haiyangkadun.20.jpg,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\haiyangkadun.20.jpg,5.927825296,0.626250033,7.222766797,37.67532328,4.94277451,0.9275490046,17.63282879,6.851409447,17.51005893,2.018025437,172,0.735042735,234,276,ok,3.790939441,0.6517247351,0.01424072857,2.756761991,3.950373538,0.4013803202,0.02086830009,2.12491129,4.297458732,-0.2503714357,0.03427188125,1.689990419
HLRP,enhancement_high_noise_diagnostic,haiyangkadun.20,haiyangkadun.20.jpg,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\haiyangkadun.20.jpg,16.35777676,1.174044892,7.458984594,132.7540361,11.11036322,0.3994488418,10.58405831,5.293416026,34.30718137,2.332340399,30,0.1282051282,234,972,ok,4.34524121,-1.765383186,0.1171626968,1.597916117,4.499282119,-1.844588886,0.1363603067,1.167601592,4.74293903,-2.044170896,0.1530570307,1.046787481
SGUIE-Net,enhancement_reference,haiyangkadun.20,haiyangkadun.20.jpg,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\haiyangkadun.20.jpg,3.84619893,0.510972372,6.012524894,27.2796826,4.22094326,0.9788581133,29.11346372,10.35915044,13.04406434,1.769982417,149,0.6367521368,234,335,ok,3.422236154,0.2648165921,0.00725660857,2.447008077,3.524426248,0.4377321615,0.01021407233,2.005813892,3.639805357,0.1732024636,0.0159560633,1.574366506
Histoformer,enhancement_high_noise_diagnostic,haiyangkadun.20,haiyangkadun.20.jpg,0c209238e5352f4d43b7a3984652f2669e47621e17ad4f3929fbb6a7e9b6e605,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.20.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\haiyangkadun.20.jpg,10.84883617,0.9016464328,7.618562868,103.3082582,11.56134738,0.7420073748,21.05671237,4.28439029,27.30431743,2.420594233,97,0.4145299145,234,662,ok,4.728840017,-1.321249864,0.02978704391,3.622937233,4.74579889,-0.3519281684,0.03514258538,2.368087028,4.935197306,-0.07050856055,0.0487995573,2.270270928
raw,anchor_raw,haiyangkadun.9,haiyangkadun.9.jpg,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,1.659945389,0.3912212565,3.085585404,25.15058288,2.362336193,1,361.2019991,2.036403729,5.37435594,0.9627187869,,,,,reference_na,2.275223788,2.534112502,0.003283981979,4.743419592,1.958279668,2.528224999,0.002746661954,4.031393735,1.53364251,2.619900378,0.00313611247,3.357349543
Ours,legacy_ours_reference,haiyangkadun.9,haiyangkadun.9.jpg,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\haiyangkadun.9.png,6.503702926,0.6691278129,4.697696928,345.8623726,10.14360815,0.9138162136,22.97060972,4.500622184,17.63562166,1.603623597,80,0.4597701149,174,240,ok,3.393350552,1.632922615,0.01991503733,3.973459003,3.409693951,2.390761429,0.01081411684,4.188983377,2.781635613,2.092630422,0.006332310814,3.34535833
HVDualformer,enhancement_reference,haiyangkadun.9,haiyangkadun.9.jpg,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\haiyangkadun.9.jpg,1.863683653,0.4024728652,3.287914219,25.05449158,2.489186408,0.9934529662,33.20850509,1.301659538,6.29787718,1.051455302,119,0.7727272727,174,154,ok,2.457644688,2.492926214,0.003764861197,4.682444399,2.131718296,2.549434024,0.003411384228,4.324359363,1.707549747,2.719547995,0.004642832542,3.417886858
ABC-Former,enhancement_reference,haiyangkadun.9,haiyangkadun.9.jpg,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\haiyangkadun.9.jpg,1.730113075,0.3950759026,3.187570286,25.28690733,2.431366004,0.998519063,43.60958359,2.527610806,5.507009705,1.022923832,158,1,174,158,ok,2.365992049,2.518157776,0.00338984516,4.722861427,2.074306547,2.523463353,0.002839080288,4.024451069,1.687773683,2.597597135,0.003241785055,3.348857566
GDCP,enhancement_reference,haiyangkadun.9,haiyangkadun.9.jpg,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\GDCP\haiyangkadun.9.jpg,5.37720536,0.6089322769,4.809701713,93.65375686,5.947442495,0.9172472954,23.01470882,3.540845567,16.73292551,1.694557211,116,0.6666666667,174,207,ok,3.802272264,1.667589553,0.009715066394,5.322091225,3.439651017,2.079647425,0.008347816634,4.127949202,2.89944547,2.314473812,0.007911630471,3.393172277
CBF,enhancement_reference,haiyangkadun.9,haiyangkadun.9.jpg,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\CBF\haiyangkadun.9.jpg,4.780777309,0.5641762272,6.498326879,77.86241673,5.768334242,0.8301622868,17.1115497,2.995328444,14.71999652,1.805481915,122,0.7011494253,174,205,ok,3.675361163,-0.002971530717,0.01150681649,4.137038063,3.50971842,1.387828935,0.009528164137,4.059462876,3.617716061,1.399002359,0.009060866389,3.302893656
HLRP,enhancement_high_noise_diagnostic,haiyangkadun.9,haiyangkadun.9.jpg,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HLRP\haiyangkadun.9.jpg,13.38080735,1.038208493,6.618487797,155.8744514,13.84356565,0.3140951693,12.22372453,1.687411201,30.78613762,2.485716743,21,0.1206896552,174,2407,ok,5.017762513,-2.369324322,0.04392384111,4.312728322,4.981807756,-2.211701839,0.03966499126,3.793704431,4.800193556,-0.250758352,0.03094779946,3.234809476
SGUIE-Net,enhancement_reference,haiyangkadun.9,haiyangkadun.9.jpg,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\SGUIE-Net\haiyangkadun.9.jpg,2.603166793,0.4438604645,3.906179629,53.1557406,3.497517127,0.9756823778,21.230295,3.088587311,8.125942688,1.323876129,129,0.7413793103,174,209,ok,2.850241146,1.021410614,0.006036743506,4.386768053,2.756151282,2.072226455,0.005297000512,4.130698825,2.320074353,2.154247314,0.005456248894,3.30276108
Histoformer,enhancement_high_noise_diagnostic,haiyangkadun.9,haiyangkadun.9.jpg,4c9ee7788bf0c9be2e5aabe3e4fca21b434576861581dadbc0279b4727b1aa79,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangkadun.9.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Histoformer\haiyangkadun.9.jpg,30.39810994,2.00225007,7.445067684,1240.181505,39.58150117,0.2192686647,13.49892426,6.599596297,60.3237451,2.681730498,2,0.01149425287,174,2463,ok,5.244888437,-1.688480827,0.1094021235,2.646491335,5.401215119,-1.985528846,0.0736120676,3.324053243,5.213298406,0.186937443,0.04796683292,2.855964106
raw,anchor_raw,haiyangyuanjia.6,haiyangyuanjia.6.jpg,4478b9132a321e40ff8c0a2b2d07edbea83ddc2fe58a67c2403d50b0ef1337b8,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangyuanjia.6.jpg,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangyuanjia.6.jpg,2.558846139,0.4408455404,6.006596312,29.92918789,2.858692158,1,361.2019991,5.787591807,7.049129425,1.316091985,,,,,reference_na,2.166621919,1.118252853,0.006582049834,4.99609244,2.556563331,1.098747762,0.006984846381,4.038177019,3.151736406,0.8580446868,0.008063355915,2.613410629
Ours,legacy_ours_reference,haiyangyuanjia.6,haiyangyuanjia.6.jpg,4478b9132a321e40ff8c0a2b2d07edbea83ddc2fe58a67c2403d50b0ef1337b8,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangyuanjia.6.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\Ours\haiyangyuanjia.6.png,8.30382544,0.7664815058,6.179397609,340.1393368,9.884990833,0.9046893716,16.25604367,7.662997807,18.38900537,1.637229134,58,0.2132352941,272,322,ok,2.879373829,0.9883333942,0.03178401608,3.184408019,3.29946101,1.092417348,0.0179365581,2.98926146,3.583615702,0.6829406768,0.01120368687,2.649660079
HVDualformer,enhancement_reference,haiyangyuanjia.6,haiyangyuanjia.6.jpg,4478b9132a321e40ff8c0a2b2d07edbea83ddc2fe58a67c2403d50b0ef1337b8,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangyuanjia.6.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\HVDualformer\haiyangyuanjia.6.jpg,2.821899438,0.4554947837,6.016504712,29.6630192,2.944980718,0.9829760194,31.0267076,4.036439359,7.521585566,1.351400536,214,0.7867647059,272,274,ok,2.300080992,1.205428525,0.007702661155,4.490751123,2.629328823,1.214223616,0.008105775987,3.760958823,3.153176789,0.8586431737,0.010008175,2.701141992
ABC-Former,enhancement_reference,haiyangyuanjia.6,haiyangyuanjia.6.jpg,4478b9132a321e40ff8c0a2b2d07edbea83ddc2fe58a67c2403d50b0ef1337b8,D:\Desktop\MyEdgeCodex\input_test\algae\haiyangyuanjia.6.jpg,D:\Desktop\Stage1Codex\experiments\myedge168_compare9_rerun_20260527\outputs_normalized\ABC-Former\haiyangyuanjia.6.jpg,2.602250335,0.4432127094,6.026277889,30.39727175,3.062270191,0.9991454482,48.49878393,5.727033436,7.166366317,1.361578446,251,0.9365671642,272,268,ok,2.332598763,1.210141359,0.006589061127,5.004628592,2.638107866,1.212292201,0.006982907815,4.050857473,3.17716658,0.8786178822,0.008025500125,2.610578454
