Method,Role,Count,EME,EMEE,Entropy,Contrast,AvgGra,MS_SSIM,PSNR,UCIQE,UIQM,SSEQ,SIFT_GOOD_MATCHES,SIFT_MATCH_RATIO
raw,anchor_raw,168,2.270842897,0.4247212516,3.78657934,24.16126317,3.028870702,1,361.2019991,2.102253736,7.419988831,1.122758239,,
Ours,legacy_ours_reference,168,14.58633542,1.11836772,5.961697183,764.3022672,21.9782232,0.729894108,17.11882677,3.987136531,31.92249814,1.944151209,27.16071429,0.217774306
HVDualformer,enhancement_reference,168,2.492639765,0.4369654708,3.953729315,24.68336263,3.185410263,0.9917833787,33.89457828,1.643290132,8.088468725,1.228559635,93.22619048,0.7858037483
ABC-Former,enhancement_reference,168,2.322183945,0.4275245293,3.881582497,24.53474994,3.130707777,0.998405535,42.21400925,2.06138199,7.472416602,1.180892723,112.5833333,0.9129835325
GDCP,enhancement_reference,168,6.708524201,0.676462865,5.338501904,96.92769394,7.458232442,0.8790380291,24.05512362,3.477062076,18.73620716,1.7821536,74.16666667,0.6046612032
CBF,enhancement_reference,168,8.053076609,0.7451883073,6.637485183,119.6892422,9.46505997,0.7376857322,17.41392885,2.829168268,21.1736603,2.052911895,72.7202381,0.5245229486
HLRP,enhancement_high_noise_diagnostic,168,13.76376791,1.063365557,6.743300193,154.005538,13.29672365,0.4102402919,13.59440022,2.731179443,31.41782128,2.362237734,33.5952381,0.190986426
SGUIE-Net,enhancement_reference,168,6.075658884,0.6410583751,4.821514348,104.0369367,6.940316381,0.8983211585,24.35625521,2.998805423,15.89728341,1.571336064,79.38095238,0.6203168895
Histoformer,enhancement_high_noise_diagnostic,168,22.30353162,1.549355804,7.237021838,743.3996118,28.23647022,0.3978222191,15.44838706,5.244977336,47.11680725,2.49509252,42.02380952,0.2119009153
