stem,selection_reasons,legacy_stage1_final_mean_abs_bgr_delta,legacy_stage1_final_mean_abs_chroma_delta,legacy_stage1_final_grad_mean_ratio,legacy_stage1_final_luma_std_ratio,P27_raw_detail_lowfreq_chroma_mean_abs_bgr_delta,P27_raw_detail_lowfreq_chroma_mean_abs_chroma_delta,P27_raw_detail_lowfreq_chroma_grad_mean_ratio,P27_raw_detail_lowfreq_chroma_luma_std_ratio,D01_structure_flow_mean_abs_bgr_delta,D01_structure_flow_mean_abs_chroma_delta,D01_structure_flow_grad_mean_ratio,D01_structure_flow_luma_std_ratio,FF01_full_flow_v8_mean_abs_bgr_delta,FF01_full_flow_v8_mean_abs_chroma_delta,FF01_full_flow_v8_grad_mean_ratio,FF01_full_flow_v8_luma_std_ratio,FF02_detector_compatible_mean_abs_bgr_delta,FF02_detector_compatible_mean_abs_chroma_delta,FF02_detector_compatible_grad_mean_ratio,FF02_detector_compatible_luma_std_ratio
chazhuang.3,legacy_stage1_final:top3_bgr,99.48009490966797,0.05509765446186066,3.2560420971155497,2.3238910285017953,0.7210644483566284,0.003159179585054517,0.9740708189625946,0.9950031217945944,1.3052864074707031,0.0032031249720603228,0.944878250219842,0.9876932038853591,1.1333788633346558,0.014531250111758709,1.0081878067059997,1.0144799661622315,0.9716113209724426,0.2748095691204071,0.9345031927152186,1.0042654465426593
chazhuang.6,D01_structure_flow:diffusionedge_baseline_50k:f1_loss:top5;D01_structure_flow:diffusionedge_baseline_50k:false_edge_increase:top5,35.856136322021484,0.07084961235523224,4.9101773091503045,2.0433959978959293,1.3533724546432495,0.016225585713982582,1.0320427930086618,0.999990071091235,1.5881282091140747,0.01650390587747097,1.132513810349778,0.9732867971425825,0.8845247626304626,0.032685548067092896,1.0663273341947552,1.0423051533542642,1.1478288173675537,0.3406689465045929,0.8795059398071453,1.002271744383092
chichaoyiwan.2,FF01_full_flow_v8:diffusionedge_baseline_50k:endpoint_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:endpoint_increase:top5,37.38617706298828,18.280073165893555,24.426607841467284,12.123458906094628,1.8873567581176758,0.927929699420929,1.461941370636678,1.040215633146413,3.0363378524780273,1.9141699075698853,1.4780260240144136,1.0423295941387563,12.68359375,8.513593673706055,1.0622601518700754,1.2504345162058625,19.389095306396484,12.588544845581055,0.8462731332665302,1.1091686686800786
chichaoyiwan.3,FF01_full_flow_v8:msfi_50k:endpoint_increase:top5;FF02_detector_compatible:msfi_50k:endpoint_increase:top5,42.044002532958984,18.437421798706055,30.098640521034095,13.116534933438565,1.8040852546691895,0.9441259503364563,1.3227202108440679,0.9660051927124463,3.0007290840148926,1.9394726753234863,1.3363018720518234,0.9721006224778883,12.682297706604004,8.528183937072754,1.0678069201403317,1.2313921371683645,19.524019241333008,12.743866920471191,0.8496733180547071,1.1035744986966574
chichaoyiwan.4,D01_structure_flow:diffusionedge_baseline_50k:endpoint_increase:top5,46.69519805908203,18.4859619140625,37.06483838609283,13.534225160117659,1.799462914466858,0.9282177686691284,1.3560289909376855,1.032789756234431,2.941497325897217,1.9200830459594727,1.3659429061697612,1.033583488306966,12.69546890258789,8.5228910446167,1.0518221959441287,1.2631520586404978,19.3581485748291,12.557211875915527,0.786651239149561,1.0943221974740038
donghaiyuanjia.17,D01_structure_flow:top3_bgr,28.6934757232666,14.6966552734375,5.685784955191795,3.450214086940498,3.270374298095703,1.1100683212280273,1.3224914717186638,0.9832568382282775,5.70878267288208,1.5359569787979126,1.2394737204480335,0.988766203643205,22.664159774780273,8.988178253173828,1.094398117182465,1.1832178978867711,28.647567749023438,13.055869102478027,0.9687838798330457,1.0618972207102564
donghaiyuanjia.18,D01_structure_flow:top3_bgr;FF01_full_flow_v8:top5_grad;named_in_FF01_status,50.1285400390625,18.450366973876953,18.468106563373407,5.928164067118258,3.1022720336914062,1.0347460508346558,1.807101491496109,0.9857229404360733,5.757737636566162,1.5265575647354126,1.8106735145252477,0.9860254287967783,22.315156936645508,7.494106292724609,1.42804935888386,1.2784845015005752,27.765541076660156,11.531991958618164,1.0767133273675227,1.0939736664160717
donghaiyuanjia.26,FF01_full_flow_v8:diffusionedge_baseline_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:f1_loss:top5;FF01_full_flow_v8:msfi_50k:false_edge_increase:top5;FF02_detector_compatible:diffusionedge_baseline_50k:f1_loss:top5;FF02_detector_compatible:diffusionedge_baseline_50k:false_edge_increase:top5;FF02_detector_compatible:msfi_50k:f1_loss:top5;FF02_detector_compatible:msfi_50k:false_edge_increase:top5,46.813941955566406,20.075307846069336,19.059701279730685,8.697088280145499,3.0913217067718506,1.0399901866912842,1.2408953082095129,0.9744276283291776,5.455901622772217,1.5310596227645874,1.2400218686054834,0.974103585281451,22.585758209228516,10.827783584594727,1.0770588121922466,1.2199542229590061,29.26399803161621,14.35498046875,0.8690482599570981,1.0705384004315937
duowenqigou.4,D01_structure_flow:diffusionedge_baseline_50k:f1_loss:top5;D01_structure_flow:diffusionedge_baseline_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:endpoint_increase:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:f1_loss:top5;P27_raw_detail_lowfreq_chroma:diffusionedge_baseline_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:top3_bgr,23.13210678100586,5.835688591003418,3.750053386706498,2.4424031707904454,3.6734960079193115,1.1367480754852295,1.0076134355539048,0.9976819864510247,3.6998307704925537,1.1487548351287842,1.0062397522957878,0.9912868302540081,1.903883457183838,1.2296338081359863,1.0038560464538548,1.0145176897384107,2.6648242473602295,1.8595995903015137,0.8454029374667835,0.9452624649382821
hailianzao.10,D01_structure_flow:msfi_50k:f1_loss:top5;D01_structure_flow:msfi_50k:false_edge_increase:top5;P27_raw_detail_lowfreq_chroma:msfi_50k:f1_loss:top5,18.745227813720703,7.611752986907959,3.1956490244461637,1.4756077255420053,3.505380868911743,1.8463525772094727,1.0747348251365962,1.0026115040974624,3.56191086769104,1.8459081649780273,1.0796609450164485,0.991831467807702,4.199580192565918,2.727846622467041,1.0070766736549348,0.9976477603584294,4.995309352874756,3.126084089279175,0.8771926687765862,0.9849093083348305
