# filename                     EME     EMEE     Entropy  Contrast   AvgGra  SIFT_KP  MS_SSIM  PSNR     UCIQE    UIQM
haiyangkadun.1.jpg             2.1354  0.4176   3.8031   18.2373    2.1170   143     1.0000  361.2020  1.9852  6.1338
haiyangkadun.10.jpg            1.4725  0.3809   3.0036   20.7923    1.8123   191     1.0000  361.2020  1.9439  4.3633
haiyangkadun.11.jpg            1.5232  0.3837   2.9679   19.8099    1.7888   183     1.0000  361.2020  1.9698  4.3640
haiyangkadun.12.jpg            1.2514  0.3688   3.0335   17.6564    1.5338   130     1.0000  361.2020  1.7989  3.6994
haiyangkadun.18.jpg            1.0781  0.3591   4.0600   7.6124     1.4002   57      1.0000  361.2020  3.0353  3.5467
haiyangkadun.19.jpg            1.1652  0.3638   4.0058   8.1620     1.4991   60      1.0000  361.2020  2.9625  3.7947
haiyangkadun.20.jpg            3.1230  0.4711   5.9178   15.8489    3.0791   209     1.0000  361.2020  9.5861  10.8678
haiyangkadun.21.jpg            2.0835  0.4143   6.2642   12.8863    2.0294   278     1.0000  361.2020  2.7739  5.1526
haiyangkadun.22.jpg            2.4450  0.4349   4.6102   18.6682    2.2613   196     1.0000  361.2020  4.6652  6.1074
haiyangkadun.23.jpg            1.3203  0.3725   2.9313   15.7666    1.5948   146     1.0000  361.2020  1.9845  3.9918
haiyangkadun.24.jpg            2.0292  0.4117   3.5162   22.0867    2.1607   182     1.0000  361.2020  1.9457  5.8180
haiyangkadun.3.jpg             1.6158  0.3886   3.4271   17.6665    2.0237   219     1.0000  361.2020  1.9679  4.9620
haiyangkadun.4.jpg             1.8851  0.4036   3.2757   22.3157    2.2321   167     1.0000  361.2020  2.1542  5.3577
haiyangkadun.5.jpg             2.0339  0.4117   3.4261   30.6932    2.5853   321     1.0000  361.2020  2.2231  5.7944
haiyangkadun.6.jpg             1.2475  0.3684   2.8836   16.0927    1.6474   238     1.0000  361.2020  1.8586  3.8340
haiyangkadun.7.jpg             1.2646  0.3694   2.8787   15.4864    1.6429   233     1.0000  361.2020  1.8586  3.7725
haiyangkadun.8.jpg             1.2859  0.3706   2.9058   17.0205    1.6702   242     1.0000  361.2020  1.8781  3.8296
haiyangkadun.9.jpg             1.5576  0.3856   2.9646   24.2446    1.9677   255     1.0000  361.2020  1.9440  4.4096
