Method,Count,Mean_EME,Mean_EMEE,Mean_Entropy,Mean_Contrast,Mean_AvgGra,Mean_SIFT_KP,Mean_MS_SSIM,Mean_PSNR,Mean_UCIQE,Mean_UIQM
ABC,9,0.904511111111111,0.34951111111111116,2.896433333333333,9.861655555555558,1.4739999999999998,101.66666666666667,0.9972666666666667,31.295544444444445,0.6102777777777777,2.501055555555556
GDCP,12,3.8111416666666664,0.5183166666666666,3.48525,55.20555833333333,2.7154000000000003,274.1666666666667,0.9181166666666668,23.225891666666666,1.9585416666666668,7.966308333333334
Hvd,16,1.17904375,0.364575,3.0288874999999993,11.069012500000001,1.52151875,133.6875,0.9940562500000002,39.6392625,0.6654375,3.6098437499999996
SGUIE,16,1.63415,0.38994999999999996,3.1065312499999997,27.0378125,2.0212874999999997,263.8125,0.98061875,29.910687499999995,1.4036937499999997,4.78656875
cbf,9,2.7456555555555555,0.4511666666666667,6.245,42.44525555555556,2.864822222222222,280.55555555555554,0.8082777777777777,16.500655555555557,1.3201,5.868222222222222
original,18,1.6954000000000002,0.39312777777777774,3.6597333333333335,17.835922222222223,1.9469888888888889,191.66666666666666,1.0,361.2020000000001,2.696416666666668,4.9888499999999985
our,8,4.717224999999999,0.56685,4.1947375000000005,296.78355000000005,6.2776625,948.625,0.9046375000000001,21.6485875,1.498075,10.0575625
